ts,metric,key,value
2026-09-24T05:47:29Z,rss_kb,jail,48588
2026-09-24T05:47:29Z,cpu_s,jail,0.03
2026-09-24T05:47:29Z,restarts,jail,0
2026-09-24T05:47:29Z,rss_kb,web,200292
2026-09-24T05:47:29Z,cpu_s,web,1.21
2026-09-24T05:47:29Z,restarts,web,0
2026-09-24T05:47:29Z,rss_kb,worker-1,151696
2026-09-24T05:47:29Z,cpu_s,worker-1,1.10
2026-09-24T05:47:29Z,restarts,worker-1,0
2026-09-24T05:47:29Z,rss_kb,worker-2,153396
2026-09-24T05:47:29Z,cpu_s,worker-2,1.12
2026-09-24T05:47:29Z,restarts,worker-2,0
2026-09-24T05:47:29Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:47:29Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:47:29Z,queue,QUEUED,0
2026-09-24T05:47:29Z,queue,IN_PROGRESS,0
2026-09-24T05:47:29Z,queue,oldest_queued_s,0
2026-09-24T05:47:29Z,pg_mem_mib,postgres,243.2
2026-09-24T05:47:29Z,pg_cpu_pct,postgres,3.28
2026-09-24T05:47:35Z,rss_kb,jail,48588
2026-09-24T05:47:35Z,cpu_s,jail,0.03
2026-09-24T05:47:35Z,restarts,jail,0
2026-09-24T05:47:35Z,rss_kb,web,231484
2026-09-24T05:47:35Z,cpu_s,web,2.47
2026-09-24T05:47:35Z,restarts,web,0
2026-09-24T05:47:35Z,rss_kb,worker-1,151732
2026-09-24T05:47:35Z,cpu_s,worker-1,1.10
2026-09-24T05:47:35Z,restarts,worker-1,0
2026-09-24T05:47:35Z,rss_kb,worker-2,153412
2026-09-24T05:47:35Z,cpu_s,worker-2,1.13
2026-09-24T05:47:35Z,restarts,worker-2,0
2026-09-24T05:47:35Z,pg_conn,slaydx-web@pop-os|idle,3
2026-09-24T05:47:35Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:47:35Z,queue,QUEUED,0
2026-09-24T05:47:35Z,queue,IN_PROGRESS,0
2026-09-24T05:47:35Z,queue,oldest_queued_s,0
2026-09-24T05:47:35Z,pg_mem_mib,postgres,246.9
2026-09-24T05:47:35Z,pg_cpu_pct,postgres,12.60
2026-09-24T05:47:41Z,rss_kb,jail,48588
2026-09-24T05:47:41Z,cpu_s,jail,0.03
2026-09-24T05:47:41Z,restarts,jail,0
2026-09-24T05:47:41Z,rss_kb,web,242412
2026-09-24T05:47:41Z,cpu_s,web,4.92
2026-09-24T05:47:41Z,restarts,web,0
2026-09-24T05:47:41Z,rss_kb,worker-1,122260
2026-09-24T05:47:41Z,cpu_s,worker-1,1.28
2026-09-24T05:47:41Z,restarts,worker-1,0
2026-09-24T05:47:41Z,rss_kb,worker-2,123764
2026-09-24T05:47:41Z,cpu_s,worker-2,1.28
2026-09-24T05:47:41Z,restarts,worker-2,0
2026-09-24T05:47:41Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:47:41Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:47:41Z,queue,QUEUED,0
2026-09-24T05:47:41Z,queue,IN_PROGRESS,0
2026-09-24T05:47:41Z,queue,oldest_queued_s,0
2026-09-24T05:47:41Z,pg_mem_mib,postgres,251.5
2026-09-24T05:47:41Z,pg_cpu_pct,postgres,17.62
2026-09-24T05:47:47Z,rss_kb,jail,48588
2026-09-24T05:47:47Z,cpu_s,jail,0.03
2026-09-24T05:47:47Z,restarts,jail,0
2026-09-24T05:47:47Z,rss_kb,web,245000
2026-09-24T05:47:47Z,cpu_s,web,7.75
2026-09-24T05:47:47Z,restarts,web,0
2026-09-24T05:47:47Z,rss_kb,worker-1,122348
2026-09-24T05:47:47Z,cpu_s,worker-1,1.28
2026-09-24T05:47:47Z,restarts,worker-1,0
2026-09-24T05:47:47Z,rss_kb,worker-2,123840
2026-09-24T05:47:47Z,cpu_s,worker-2,1.29
2026-09-24T05:47:47Z,restarts,worker-2,0
2026-09-24T05:47:47Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:47:47Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:47:47Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:47:47Z,queue,QUEUED,0
2026-09-24T05:47:47Z,queue,IN_PROGRESS,0
2026-09-24T05:47:47Z,queue,oldest_queued_s,0
2026-09-24T05:47:47Z,pg_mem_mib,postgres,255.6
2026-09-24T05:47:47Z,pg_cpu_pct,postgres,45.09
2026-09-24T05:47:53Z,rss_kb,jail,48588
2026-09-24T05:47:53Z,cpu_s,jail,0.03
2026-09-24T05:47:53Z,restarts,jail,0
2026-09-24T05:47:53Z,rss_kb,web,255904
2026-09-24T05:47:53Z,cpu_s,web,11.69
2026-09-24T05:47:53Z,restarts,web,0
2026-09-24T05:47:53Z,rss_kb,worker-1,122428
2026-09-24T05:47:53Z,cpu_s,worker-1,1.30
2026-09-24T05:47:53Z,restarts,worker-1,0
2026-09-24T05:47:53Z,rss_kb,worker-2,123928
2026-09-24T05:47:53Z,cpu_s,worker-2,1.29
2026-09-24T05:47:53Z,restarts,worker-2,0
2026-09-24T05:47:53Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:47:53Z,pg_conn,slaydx-web@pop-os|idle,6
2026-09-24T05:47:53Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:47:53Z,queue,QUEUED,0
2026-09-24T05:47:53Z,queue,IN_PROGRESS,0
2026-09-24T05:47:53Z,queue,oldest_queued_s,0
2026-09-24T05:47:53Z,pg_mem_mib,postgres,257.8
2026-09-24T05:47:53Z,pg_cpu_pct,postgres,37.54
2026-09-24T05:48:00Z,rss_kb,jail,48588
2026-09-24T05:48:00Z,cpu_s,jail,0.03
2026-09-24T05:48:00Z,restarts,jail,0
2026-09-24T05:48:00Z,rss_kb,web,280120
2026-09-24T05:48:00Z,cpu_s,web,15.04
2026-09-24T05:48:00Z,restarts,web,0
2026-09-24T05:48:00Z,rss_kb,worker-1,122504
2026-09-24T05:48:00Z,cpu_s,worker-1,1.30
2026-09-24T05:48:00Z,restarts,worker-1,0
2026-09-24T05:48:00Z,rss_kb,worker-2,124004
2026-09-24T05:48:00Z,cpu_s,worker-2,1.29
2026-09-24T05:48:00Z,restarts,worker-2,0
2026-09-24T05:48:00Z,pg_conn,slaydx-web@pop-os|idle,8
2026-09-24T05:48:00Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:48:00Z,queue,QUEUED,0
2026-09-24T05:48:00Z,queue,IN_PROGRESS,0
2026-09-24T05:48:00Z,queue,oldest_queued_s,0
2026-09-24T05:48:00Z,pg_mem_mib,postgres,260.9
2026-09-24T05:48:00Z,pg_cpu_pct,postgres,50.12
2026-09-24T05:48:06Z,rss_kb,jail,48588
2026-09-24T05:48:06Z,cpu_s,jail,0.03
2026-09-24T05:48:06Z,restarts,jail,0
2026-09-24T05:48:06Z,rss_kb,web,303068
2026-09-24T05:48:06Z,cpu_s,web,18.71
2026-09-24T05:48:06Z,restarts,web,0
2026-09-24T05:48:06Z,rss_kb,worker-1,122596
2026-09-24T05:48:06Z,cpu_s,worker-1,1.30
2026-09-24T05:48:06Z,restarts,worker-1,0
2026-09-24T05:48:06Z,rss_kb,worker-2,124088
2026-09-24T05:48:06Z,cpu_s,worker-2,1.30
2026-09-24T05:48:06Z,restarts,worker-2,0
2026-09-24T05:48:06Z,pg_conn,slaydx-web@pop-os|active,2
2026-09-24T05:48:06Z,pg_conn,slaydx-web@pop-os|idle,6
2026-09-24T05:48:06Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:48:06Z,queue,QUEUED,0
2026-09-24T05:48:06Z,queue,IN_PROGRESS,0
2026-09-24T05:48:06Z,queue,oldest_queued_s,0
2026-09-24T05:48:06Z,pg_mem_mib,postgres,262.4
2026-09-24T05:48:06Z,pg_cpu_pct,postgres,62.30
2026-09-24T05:48:12Z,rss_kb,jail,48588
2026-09-24T05:48:12Z,cpu_s,jail,0.03
2026-09-24T05:48:12Z,restarts,jail,0
2026-09-24T05:48:12Z,rss_kb,web,304252
2026-09-24T05:48:12Z,cpu_s,web,22.07
2026-09-24T05:48:12Z,restarts,web,0
2026-09-24T05:48:12Z,rss_kb,worker-1,122676
2026-09-24T05:48:12Z,cpu_s,worker-1,1.31
2026-09-24T05:48:12Z,restarts,worker-1,0
2026-09-24T05:48:12Z,rss_kb,worker-2,124168
2026-09-24T05:48:12Z,cpu_s,worker-2,1.30
2026-09-24T05:48:12Z,restarts,worker-2,0
2026-09-24T05:48:12Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:48:12Z,pg_conn,slaydx-web@pop-os|idle,8
2026-09-24T05:48:12Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:48:12Z,queue,QUEUED,0
2026-09-24T05:48:12Z,queue,IN_PROGRESS,0
2026-09-24T05:48:12Z,queue,oldest_queued_s,0
2026-09-24T05:48:12Z,pg_mem_mib,postgres,265.4
2026-09-24T05:48:12Z,pg_cpu_pct,postgres,66.42
2026-09-24T05:48:18Z,rss_kb,jail,48588
2026-09-24T05:48:18Z,cpu_s,jail,0.03
2026-09-24T05:48:18Z,restarts,jail,0
2026-09-24T05:48:18Z,rss_kb,web,306832
2026-09-24T05:48:18Z,cpu_s,web,26.01
2026-09-24T05:48:18Z,restarts,web,0
2026-09-24T05:48:18Z,rss_kb,worker-1,122856
2026-09-24T05:48:18Z,cpu_s,worker-1,1.31
2026-09-24T05:48:18Z,restarts,worker-1,0
2026-09-24T05:48:18Z,rss_kb,worker-2,124244
2026-09-24T05:48:18Z,cpu_s,worker-2,1.30
2026-09-24T05:48:18Z,restarts,worker-2,0
2026-09-24T05:48:18Z,pg_conn,slaydx-web@pop-os|idle,10
2026-09-24T05:48:18Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:48:18Z,queue,QUEUED,0
2026-09-24T05:48:18Z,queue,IN_PROGRESS,0
2026-09-24T05:48:18Z,queue,oldest_queued_s,0
2026-09-24T05:48:18Z,pg_mem_mib,postgres,267.3
2026-09-24T05:48:18Z,pg_cpu_pct,postgres,75.01
2026-09-24T05:48:24Z,rss_kb,jail,48588
2026-09-24T05:48:24Z,cpu_s,jail,0.03
2026-09-24T05:48:24Z,restarts,jail,0
2026-09-24T05:48:24Z,rss_kb,web,309756
2026-09-24T05:48:24Z,cpu_s,web,30.11
2026-09-24T05:48:24Z,restarts,web,0
2026-09-24T05:48:24Z,rss_kb,worker-1,122936
2026-09-24T05:48:24Z,cpu_s,worker-1,1.31
2026-09-24T05:48:24Z,restarts,worker-1,0
