ts,metric,key,value
2026-09-24T05:10:50Z,rss_kb,jail,48888
2026-09-24T05:10:50Z,cpu_s,jail,0.02
2026-09-24T05:10:50Z,restarts,jail,0
2026-09-24T05:10:50Z,rss_kb,web,199232
2026-09-24T05:10:50Z,cpu_s,web,1.05
2026-09-24T05:10:50Z,restarts,web,0
2026-09-24T05:10:50Z,rss_kb,worker-1,191296
2026-09-24T05:10:50Z,cpu_s,worker-1,1.89
2026-09-24T05:10:50Z,restarts,worker-1,0
2026-09-24T05:10:50Z,rss_kb,worker-2,193576
2026-09-24T05:10:50Z,cpu_s,worker-2,1.82
2026-09-24T05:10:50Z,restarts,worker-2,0
2026-09-24T05:10:50Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:10:50Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:10:50Z,queue,QUEUED,0
2026-09-24T05:10:50Z,queue,IN_PROGRESS,0
2026-09-24T05:10:50Z,queue,oldest_queued_s,0
2026-09-24T05:10:50Z,pg_mem_mib,postgres,232.2
2026-09-24T05:10:50Z,pg_cpu_pct,postgres,0.28
2026-09-24T05:10:57Z,rss_kb,jail,48888
2026-09-24T05:10:57Z,cpu_s,jail,0.02
2026-09-24T05:10:57Z,restarts,jail,0
2026-09-24T05:10:57Z,rss_kb,web,219568
2026-09-24T05:10:57Z,cpu_s,web,2.00
2026-09-24T05:10:57Z,restarts,web,0
2026-09-24T05:10:57Z,rss_kb,worker-1,191412
2026-09-24T05:10:57Z,cpu_s,worker-1,1.90
2026-09-24T05:10:57Z,restarts,worker-1,0
2026-09-24T05:10:57Z,rss_kb,worker-2,193700
2026-09-24T05:10:57Z,cpu_s,worker-2,1.83
2026-09-24T05:10:57Z,restarts,worker-2,0
2026-09-24T05:10:57Z,pg_conn,slaydx-web@pop-os|idle,2
2026-09-24T05:10:57Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:10:57Z,queue,QUEUED,0
2026-09-24T05:10:57Z,queue,IN_PROGRESS,0
2026-09-24T05:10:57Z,queue,oldest_queued_s,0
2026-09-24T05:10:57Z,pg_mem_mib,postgres,236.9
2026-09-24T05:10:57Z,pg_cpu_pct,postgres,2.89
2026-09-24T05:11:03Z,rss_kb,jail,48888
2026-09-24T05:11:03Z,cpu_s,jail,0.02
2026-09-24T05:11:03Z,restarts,jail,0
2026-09-24T05:11:03Z,rss_kb,web,239668
2026-09-24T05:11:03Z,cpu_s,web,3.85
2026-09-24T05:11:03Z,restarts,web,0
2026-09-24T05:11:03Z,rss_kb,worker-1,145252
2026-09-24T05:11:03Z,cpu_s,worker-1,2.06
2026-09-24T05:11:03Z,restarts,worker-1,0
2026-09-24T05:11:03Z,rss_kb,worker-2,145484
2026-09-24T05:11:03Z,cpu_s,worker-2,1.99
2026-09-24T05:11:03Z,restarts,worker-2,0
2026-09-24T05:11:03Z,pg_conn,slaydx-web@pop-os|idle,2
2026-09-24T05:11:03Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:11:03Z,queue,QUEUED,0
2026-09-24T05:11:03Z,queue,IN_PROGRESS,0
2026-09-24T05:11:03Z,queue,oldest_queued_s,0
2026-09-24T05:11:03Z,pg_mem_mib,postgres,236.8
2026-09-24T05:11:03Z,pg_cpu_pct,postgres,3.20
2026-09-24T05:11:09Z,rss_kb,jail,48888
2026-09-24T05:11:09Z,cpu_s,jail,0.02
2026-09-24T05:11:09Z,restarts,jail,0
2026-09-24T05:11:09Z,rss_kb,web,242420
2026-09-24T05:11:09Z,cpu_s,web,5.92
2026-09-24T05:11:09Z,restarts,web,0
2026-09-24T05:11:09Z,rss_kb,worker-1,145356
2026-09-24T05:11:09Z,cpu_s,worker-1,2.07
2026-09-24T05:11:09Z,restarts,worker-1,0
2026-09-24T05:11:09Z,rss_kb,worker-2,145580
2026-09-24T05:11:09Z,cpu_s,worker-2,2.00
2026-09-24T05:11:09Z,restarts,worker-2,0
2026-09-24T05:11:09Z,pg_conn,slaydx-web@pop-os|idle,3
2026-09-24T05:11:09Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:11:09Z,queue,QUEUED,0
2026-09-24T05:11:09Z,queue,IN_PROGRESS,0
2026-09-24T05:11:09Z,queue,oldest_queued_s,0
2026-09-24T05:11:09Z,pg_mem_mib,postgres,239.2
2026-09-24T05:11:09Z,pg_cpu_pct,postgres,4.28
2026-09-24T05:11:15Z,rss_kb,jail,48888
2026-09-24T05:11:15Z,cpu_s,jail,0.02
2026-09-24T05:11:15Z,restarts,jail,0
2026-09-24T05:11:15Z,rss_kb,web,255284
2026-09-24T05:11:15Z,cpu_s,web,8.40
2026-09-24T05:11:15Z,restarts,web,0
2026-09-24T05:11:15Z,rss_kb,worker-1,145468
2026-09-24T05:11:15Z,cpu_s,worker-1,2.07
2026-09-24T05:11:15Z,restarts,worker-1,0
2026-09-24T05:11:15Z,rss_kb,worker-2,145724
2026-09-24T05:11:15Z,cpu_s,worker-2,2.01
2026-09-24T05:11:15Z,restarts,worker-2,0
2026-09-24T05:11:15Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:11:15Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:11:15Z,queue,QUEUED,0
2026-09-24T05:11:15Z,queue,IN_PROGRESS,0
2026-09-24T05:11:15Z,queue,oldest_queued_s,0
2026-09-24T05:11:15Z,pg_mem_mib,postgres,243.4
2026-09-24T05:11:15Z,pg_cpu_pct,postgres,5.96
2026-09-24T05:11:21Z,rss_kb,jail,48888
2026-09-24T05:11:21Z,cpu_s,jail,0.02
2026-09-24T05:11:21Z,restarts,jail,0
2026-09-24T05:11:21Z,rss_kb,web,268852
2026-09-24T05:11:21Z,cpu_s,web,11.05
2026-09-24T05:11:21Z,restarts,web,0
2026-09-24T05:11:21Z,rss_kb,worker-1,145600
2026-09-24T05:11:21Z,cpu_s,worker-1,2.09
2026-09-24T05:11:21Z,restarts,worker-1,0
2026-09-24T05:11:21Z,rss_kb,worker-2,145828
2026-09-24T05:11:21Z,cpu_s,worker-2,2.02
2026-09-24T05:11:21Z,restarts,worker-2,0
2026-09-24T05:11:21Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:11:21Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:11:21Z,queue,QUEUED,0
2026-09-24T05:11:21Z,queue,IN_PROGRESS,0
2026-09-24T05:11:21Z,queue,oldest_queued_s,0
2026-09-24T05:11:21Z,pg_mem_mib,postgres,243.9
2026-09-24T05:11:21Z,pg_cpu_pct,postgres,7.15
2026-09-24T05:11:27Z,rss_kb,jail,48888
2026-09-24T05:11:27Z,cpu_s,jail,0.02
2026-09-24T05:11:27Z,restarts,jail,0
2026-09-24T05:11:27Z,rss_kb,web,278936
2026-09-24T05:11:27Z,cpu_s,web,14.25
2026-09-24T05:11:27Z,restarts,web,0
