ts,metric,key,value
2026-09-24T05:36:45Z,rss_kb,jail,48888
2026-09-24T05:36:45Z,cpu_s,jail,0.02
2026-09-24T05:36:45Z,restarts,jail,0
2026-09-24T05:36:45Z,rss_kb,web,260952
2026-09-24T05:36:45Z,cpu_s,web,596.98
2026-09-24T05:36:45Z,restarts,web,0
2026-09-24T05:36:45Z,rss_kb,worker-1,198400
2026-09-24T05:36:45Z,cpu_s,worker-1,37.33
2026-09-24T05:36:45Z,restarts,worker-1,0
2026-09-24T05:36:45Z,rss_kb,worker-2,189784
2026-09-24T05:36:45Z,cpu_s,worker-2,37.68
2026-09-24T05:36:45Z,restarts,worker-2,0
2026-09-24T05:36:45Z,pg_conn,slaydx-web@pop-os|idle,10
2026-09-24T05:36:45Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:36:45Z,queue,QUEUED,0
2026-09-24T05:36:45Z,queue,IN_PROGRESS,0
2026-09-24T05:36:45Z,queue,oldest_queued_s,0
2026-09-24T05:36:45Z,pg_mem_mib,postgres,340.3
2026-09-24T05:36:45Z,pg_cpu_pct,postgres,6.59
2026-09-24T05:36:48Z,rss_kb,jail,48888
2026-09-24T05:36:48Z,cpu_s,jail,0.02
2026-09-24T05:36:48Z,restarts,jail,0
2026-09-24T05:36:48Z,rss_kb,web,268804
2026-09-24T05:36:48Z,cpu_s,web,597.24
2026-09-24T05:36:48Z,restarts,web,0
2026-09-24T05:36:48Z,rss_kb,worker-1,198400
2026-09-24T05:36:48Z,cpu_s,worker-1,37.34
2026-09-24T05:36:48Z,restarts,worker-1,0
2026-09-24T05:36:48Z,rss_kb,worker-2,194148
2026-09-24T05:36:48Z,cpu_s,worker-2,37.71
2026-09-24T05:36:48Z,restarts,worker-2,0
2026-09-24T05:36:48Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:36:48Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:36:48Z,queue,QUEUED,1
2026-09-24T05:36:48Z,queue,IN_PROGRESS,0
2026-09-24T05:36:48Z,queue,oldest_queued_s,0
2026-09-24T05:36:48Z,pg_mem_mib,postgres,337.5
2026-09-24T05:36:48Z,pg_cpu_pct,postgres,5.71
2026-09-24T05:36:51Z,rss_kb,jail,48888
2026-09-24T05:36:51Z,cpu_s,jail,0.02
2026-09-24T05:36:51Z,restarts,jail,0
2026-09-24T05:36:51Z,rss_kb,web,277364
2026-09-24T05:36:51Z,cpu_s,web,597.69
2026-09-24T05:36:51Z,restarts,web,0
2026-09-24T05:36:51Z,rss_kb,worker-1,199484
2026-09-24T05:36:51Z,cpu_s,worker-1,37.38
2026-09-24T05:36:51Z,restarts,worker-1,0
2026-09-24T05:36:51Z,rss_kb,worker-2,194148
2026-09-24T05:36:51Z,cpu_s,worker-2,37.72
2026-09-24T05:36:51Z,restarts,worker-2,0
2026-09-24T05:36:51Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:36:51Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:36:51Z,queue,QUEUED,1
2026-09-24T05:36:51Z,queue,IN_PROGRESS,0
2026-09-24T05:36:51Z,queue,oldest_queued_s,0
2026-09-24T05:36:51Z,pg_mem_mib,postgres,337.7
2026-09-24T05:36:51Z,pg_cpu_pct,postgres,6.28
2026-09-24T05:36:54Z,rss_kb,jail,48888
2026-09-24T05:36:54Z,cpu_s,jail,0.02
2026-09-24T05:36:54Z,restarts,jail,0
