ts,metric,key,value
2026-09-24T05:41:55Z,rss_kb,jail,49796
2026-09-24T05:41:55Z,cpu_s,jail,0.05
2026-09-24T05:41:55Z,restarts,jail,0
2026-09-24T05:41:55Z,rss_kb,web,297972
2026-09-24T05:41:55Z,cpu_s,web,609.95
2026-09-24T05:41:55Z,restarts,web,0
2026-09-24T05:41:55Z,rss_kb,worker-1,124988
2026-09-24T05:41:55Z,cpu_s,worker-1,1.23
2026-09-24T05:41:55Z,restarts,worker-1,3
2026-09-24T05:41:55Z,rss_kb,worker-2,124088
2026-09-24T05:41:55Z,cpu_s,worker-2,1.28
2026-09-24T05:41:55Z,restarts,worker-2,2
2026-09-24T05:41:55Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:41:55Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:41:55Z,queue,QUEUED,9
2026-09-24T05:41:55Z,queue,IN_PROGRESS,0
2026-09-24T05:41:55Z,queue,oldest_queued_s,0
2026-09-24T05:41:55Z,pg_mem_mib,postgres,92.0
2026-09-24T05:41:55Z,pg_cpu_pct,postgres,14.68
2026-09-24T05:41:58Z,rss_kb,jail,49796
2026-09-24T05:41:58Z,cpu_s,jail,0.05
2026-09-24T05:41:58Z,restarts,jail,0
2026-09-24T05:41:58Z,rss_kb,web,297992
2026-09-24T05:41:58Z,cpu_s,web,610.34
2026-09-24T05:41:58Z,restarts,web,0
2026-09-24T05:41:58Z,rss_kb,worker-1,127524
2026-09-24T05:41:58Z,cpu_s,worker-1,1.40
2026-09-24T05:41:58Z,restarts,worker-1,3
2026-09-24T05:41:58Z,rss_kb,worker-2,126912
2026-09-24T05:41:58Z,cpu_s,worker-2,1.40
2026-09-24T05:41:58Z,restarts,worker-2,2
2026-09-24T05:41:58Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:41:58Z,pg_conn,slaydx-worker@pop-os|idle,4
2026-09-24T05:41:58Z,queue,QUEUED,0
2026-09-24T05:41:58Z,queue,IN_PROGRESS,0
2026-09-24T05:41:58Z,queue,oldest_queued_s,0
2026-09-24T05:41:58Z,pg_mem_mib,postgres,92.3
2026-09-24T05:41:58Z,pg_cpu_pct,postgres,1.21
2026-09-24T05:42:01Z,rss_kb,jail,49796
2026-09-24T05:42:01Z,cpu_s,jail,0.05
2026-09-24T05:42:01Z,restarts,jail,0
2026-09-24T05:42:01Z,rss_kb,web,297992
2026-09-24T05:42:01Z,cpu_s,web,610.53
2026-09-24T05:42:01Z,restarts,web,0
2026-09-24T05:42:01Z,rss_kb,worker-1,151296
2026-09-24T05:42:01Z,cpu_s,worker-1,1.10
2026-09-24T05:42:01Z,restarts,worker-1,4
2026-09-24T05:42:01Z,rss_kb,worker-2,126912
2026-09-24T05:42:01Z,cpu_s,worker-2,1.40
2026-09-24T05:42:01Z,restarts,worker-2,2
2026-09-24T05:42:01Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:42:01Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:42:01Z,queue,QUEUED,0
2026-09-24T05:42:01Z,queue,IN_PROGRESS,0
2026-09-24T05:42:01Z,queue,oldest_queued_s,0
2026-09-24T05:42:01Z,pg_mem_mib,postgres,89.5
2026-09-24T05:42:01Z,pg_cpu_pct,postgres,0.78
2026-09-24T05:42:05Z,rss_kb,jail,49796
2026-09-24T05:42:05Z,cpu_s,jail,0.05
2026-09-24T05:42:05Z,restarts,jail,0
