ts,metric,key,value
2026-09-24T05:38:50Z,rss_kb,jail,48888
2026-09-24T05:38:50Z,cpu_s,jail,0.02
2026-09-24T05:38:50Z,restarts,jail,0
2026-09-24T05:38:50Z,rss_kb,web,297944
2026-09-24T05:38:50Z,cpu_s,web,609.00
2026-09-24T05:38:50Z,restarts,web,0
2026-09-24T05:38:50Z,rss_kb,worker-1,0
2026-09-24T05:38:50Z,cpu_s,worker-1,38.96
2026-09-24T05:38:50Z,restarts,worker-1,0
2026-09-24T05:38:50Z,rss_kb,worker-2,188812
2026-09-24T05:38:50Z,cpu_s,worker-2,39.17
2026-09-24T05:38:50Z,restarts,worker-2,0
2026-09-24T05:38:50Z,pg_conn,slaydx-web@pop-os|idle,2
2026-09-24T05:38:50Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:38:50Z,queue,QUEUED,0
2026-09-24T05:38:50Z,queue,IN_PROGRESS,0
2026-09-24T05:38:50Z,queue,oldest_queued_s,0
2026-09-24T05:38:50Z,pg_mem_mib,postgres,81.6
2026-09-24T05:38:50Z,pg_cpu_pct,postgres,0.20
2026-09-24T05:38:53Z,rss_kb,jail,48888
2026-09-24T05:38:53Z,cpu_s,jail,0.02
2026-09-24T05:38:53Z,restarts,jail,0
2026-09-24T05:38:53Z,rss_kb,web,297944
2026-09-24T05:38:53Z,cpu_s,web,609.00
2026-09-24T05:38:53Z,restarts,web,0
2026-09-24T05:38:53Z,rss_kb,worker-1,149284
2026-09-24T05:38:53Z,cpu_s,worker-1,1.35
2026-09-24T05:38:53Z,restarts,worker-1,1
2026-09-24T05:38:53Z,rss_kb,worker-2,188812
2026-09-24T05:38:53Z,cpu_s,worker-2,39.17
2026-09-24T05:38:53Z,restarts,worker-2,0
2026-09-24T05:38:53Z,pg_conn,slaydx-web@pop-os|idle,2
2026-09-24T05:38:53Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:38:53Z,queue,QUEUED,0
2026-09-24T05:38:53Z,queue,IN_PROGRESS,0
2026-09-24T05:38:53Z,queue,oldest_queued_s,0
2026-09-24T05:38:53Z,pg_mem_mib,postgres,77.9
2026-09-24T05:38:53Z,pg_cpu_pct,postgres,1.26
2026-09-24T05:38:56Z,rss_kb,jail,48888
2026-09-24T05:38:56Z,cpu_s,jail,0.02
2026-09-24T05:38:56Z,restarts,jail,0
2026-09-24T05:38:56Z,rss_kb,web,297944
2026-09-24T05:38:56Z,cpu_s,web,609.00
2026-09-24T05:38:56Z,restarts,web,0
2026-09-24T05:38:56Z,rss_kb,worker-1,149316
2026-09-24T05:38:56Z,cpu_s,worker-1,1.36
2026-09-24T05:38:56Z,restarts,worker-1,1
2026-09-24T05:38:56Z,rss_kb,worker-2,153208
2026-09-24T05:38:56Z,cpu_s,worker-2,1.21
2026-09-24T05:38:56Z,restarts,worker-2,1
2026-09-24T05:38:56Z,pg_conn,slaydx-web@pop-os|idle,2
2026-09-24T05:38:56Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:38:56Z,queue,QUEUED,0
2026-09-24T05:38:56Z,queue,IN_PROGRESS,0
2026-09-24T05:38:56Z,queue,oldest_queued_s,0
2026-09-24T05:38:56Z,pg_mem_mib,postgres,79.8
2026-09-24T05:38:56Z,pg_cpu_pct,postgres,0.18
2026-09-24T05:38:59Z,rss_kb,jail,49528
