ts,metric,key,value
2026-09-24T05:43:28Z,rss_kb,jail,49904
2026-09-24T05:43:28Z,cpu_s,jail,0.06
2026-09-24T05:43:28Z,restarts,jail,0
2026-09-24T05:43:28Z,rss_kb,web,261068
2026-09-24T05:43:28Z,cpu_s,web,615.33
2026-09-24T05:43:28Z,restarts,web,0
2026-09-24T05:43:28Z,rss_kb,worker-1,0
2026-09-24T05:43:28Z,cpu_s,worker-1,1.35
2026-09-24T05:43:28Z,restarts,worker-1,5
2026-09-24T05:43:28Z,rss_kb,worker-2,124400
2026-09-24T05:43:28Z,cpu_s,worker-2,1.32
2026-09-24T05:43:28Z,restarts,worker-2,4
2026-09-24T05:43:28Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:43:28Z,pg_conn,slaydx-worker@pop-os|idle,1
2026-09-24T05:43:28Z,queue,QUEUED,0
2026-09-24T05:43:28Z,queue,IN_PROGRESS,0
2026-09-24T05:43:28Z,queue,oldest_queued_s,0
2026-09-24T05:43:28Z,pg_mem_mib,postgres,76.4
2026-09-24T05:43:28Z,pg_cpu_pct,postgres,0.00
2026-09-24T05:43:31Z,rss_kb,jail,49904
2026-09-24T05:43:31Z,cpu_s,jail,0.06
2026-09-24T05:43:31Z,restarts,jail,0
2026-09-24T05:43:31Z,rss_kb,web,261068
2026-09-24T05:43:31Z,cpu_s,web,615.33
2026-09-24T05:43:31Z,restarts,web,0
2026-09-24T05:43:31Z,rss_kb,worker-1,155996
2026-09-24T05:43:31Z,cpu_s,worker-1,1.20
2026-09-24T05:43:31Z,restarts,worker-1,6
2026-09-24T05:43:31Z,rss_kb,worker-2,124440
2026-09-24T05:43:31Z,cpu_s,worker-2,1.32
2026-09-24T05:43:31Z,restarts,worker-2,4
2026-09-24T05:43:31Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:43:31Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:43:31Z,queue,QUEUED,0
2026-09-24T05:43:31Z,queue,IN_PROGRESS,0
2026-09-24T05:43:31Z,queue,oldest_queued_s,0
2026-09-24T05:43:31Z,pg_mem_mib,postgres,75.1
2026-09-24T05:43:31Z,pg_cpu_pct,postgres,0.52
2026-09-24T05:43:34Z,rss_kb,jail,49904
2026-09-24T05:43:34Z,cpu_s,jail,0.06
2026-09-24T05:43:34Z,restarts,jail,0
2026-09-24T05:43:34Z,rss_kb,web,261068
2026-09-24T05:43:34Z,cpu_s,web,615.33
2026-09-24T05:43:34Z,restarts,web,0
2026-09-24T05:43:34Z,rss_kb,worker-1,156000
2026-09-24T05:43:34Z,cpu_s,worker-1,1.21
2026-09-24T05:43:34Z,restarts,worker-1,6
2026-09-24T05:43:34Z,rss_kb,worker-2,154512
2026-09-24T05:43:34Z,cpu_s,worker-2,1.13
2026-09-24T05:43:34Z,restarts,worker-2,5
2026-09-24T05:43:34Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:43:34Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:43:34Z,queue,QUEUED,0
2026-09-24T05:43:34Z,queue,IN_PROGRESS,0
2026-09-24T05:43:34Z,queue,oldest_queued_s,0
2026-09-24T05:43:34Z,pg_mem_mib,postgres,77.8
2026-09-24T05:43:34Z,pg_cpu_pct,postgres,0.09
2026-09-24T05:43:37Z,rss_kb,jail,49952
2026-09-24T05:43:37Z,cpu_s,jail,0.06
2026-09-24T05:43:37Z,restarts,jail,0
2026-09-24T05:43:37Z,rss_kb,web,263444
2026-09-24T05:43:37Z,cpu_s,web,615.46
2026-09-24T05:43:37Z,restarts,web,0
2026-09-24T05:43:37Z,rss_kb,worker-1,156868
2026-09-24T05:43:37Z,cpu_s,worker-1,1.24
2026-09-24T05:43:37Z,restarts,worker-1,6
2026-09-24T05:43:37Z,rss_kb,worker-2,155552
2026-09-24T05:43:37Z,cpu_s,worker-2,1.17
2026-09-24T05:43:37Z,restarts,worker-2,5
2026-09-24T05:43:37Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:43:37Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:43:37Z,queue,QUEUED,0
2026-09-24T05:43:37Z,queue,IN_PROGRESS,8
2026-09-24T05:43:37Z,queue,oldest_queued_s,0
2026-09-24T05:43:37Z,pg_mem_mib,postgres,78.6
2026-09-24T05:43:37Z,pg_cpu_pct,postgres,1.99
2026-09-24T05:43:41Z,rss_kb,jail,49956
2026-09-24T05:43:41Z,cpu_s,jail,0.06
2026-09-24T05:43:41Z,restarts,jail,0
2026-09-24T05:43:41Z,rss_kb,web,270072
2026-09-24T05:43:41Z,cpu_s,web,615.80
2026-09-24T05:43:41Z,restarts,web,0
2026-09-24T05:43:41Z,rss_kb,worker-1,127408
2026-09-24T05:43:41Z,cpu_s,worker-1,1.37
2026-09-24T05:43:41Z,restarts,worker-1,6
2026-09-24T05:43:41Z,rss_kb,worker-2,155560
2026-09-24T05:43:41Z,cpu_s,worker-2,1.18
2026-09-24T05:43:41Z,restarts,worker-2,5
2026-09-24T05:43:41Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:43:41Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:43:41Z,queue,QUEUED,3
2026-09-24T05:43:41Z,queue,IN_PROGRESS,8
2026-09-24T05:43:41Z,queue,oldest_queued_s,3
2026-09-24T05:43:41Z,pg_mem_mib,postgres,87.2
2026-09-24T05:43:41Z,pg_cpu_pct,postgres,6.78
2026-09-24T05:43:44Z,rss_kb,jail,49956
2026-09-24T05:43:44Z,cpu_s,jail,0.06
2026-09-24T05:43:44Z,restarts,jail,0
2026-09-24T05:43:44Z,rss_kb,web,278472
2026-09-24T05:43:44Z,cpu_s,web,616.38
2026-09-24T05:43:44Z,restarts,web,0
2026-09-24T05:43:44Z,rss_kb,worker-1,127412
2026-09-24T05:43:44Z,cpu_s,worker-1,1.38
2026-09-24T05:43:44Z,restarts,worker-1,6
2026-09-24T05:43:44Z,rss_kb,worker-2,126116
2026-09-24T05:43:44Z,cpu_s,worker-2,1.32
2026-09-24T05:43:44Z,restarts,worker-2,5
2026-09-24T05:43:44Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:43:44Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:43:44Z,queue,QUEUED,6
2026-09-24T05:43:44Z,queue,IN_PROGRESS,8
2026-09-24T05:43:44Z,queue,oldest_queued_s,6
2026-09-24T05:43:44Z,pg_mem_mib,postgres,87.9
2026-09-24T05:43:44Z,pg_cpu_pct,postgres,3.84
2026-09-24T05:43:47Z,rss_kb,jail,49956
2026-09-24T05:43:47Z,cpu_s,jail,0.06
2026-09-24T05:43:47Z,restarts,jail,0
2026-09-24T05:43:47Z,rss_kb,web,278744
2026-09-24T05:43:47Z,cpu_s,web,616.74
2026-09-24T05:43:47Z,restarts,web,0
2026-09-24T05:43:47Z,rss_kb,worker-1,127416
2026-09-24T05:43:47Z,cpu_s,worker-1,1.38
2026-09-24T05:43:47Z,restarts,worker-1,6
2026-09-24T05:43:47Z,rss_kb,worker-2,126220
2026-09-24T05:43:47Z,cpu_s,worker-2,1.32
2026-09-24T05:43:47Z,restarts,worker-2,5
2026-09-24T05:43:47Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:43:47Z,pg_conn,slaydx-worker@pop-os|idle,2
2026-09-24T05:43:47Z,queue,QUEUED,9
2026-09-24T05:43:47Z,queue,IN_PROGRESS,8
2026-09-24T05:43:47Z,queue,oldest_queued_s,9
2026-09-24T05:43:47Z,pg_mem_mib,postgres,89.3
2026-09-24T05:43:47Z,pg_cpu_pct,postgres,6.74
2026-09-24T05:43:50Z,rss_kb,jail,49956
2026-09-24T05:43:50Z,cpu_s,jail,0.06
2026-09-24T05:43:50Z,restarts,jail,0
2026-09-24T05:43:50Z,rss_kb,web,290820
2026-09-24T05:43:50Z,cpu_s,web,617.25
2026-09-24T05:43:50Z,restarts,web,0
2026-09-24T05:43:50Z,rss_kb,worker-1,127476
2026-09-24T05:43:50Z,cpu_s,worker-1,1.38
2026-09-24T05:43:50Z,restarts,worker-1,6
