ts,metric,key,value
2026-09-24T05:23:17Z,rss_kb,jail,48888
2026-09-24T05:23:17Z,cpu_s,jail,0.02
2026-09-24T05:23:17Z,restarts,jail,0
2026-09-24T05:23:17Z,rss_kb,web,259488
2026-09-24T05:23:17Z,cpu_s,web,228.41
2026-09-24T05:23:17Z,restarts,web,0
2026-09-24T05:23:17Z,rss_kb,worker-1,193440
2026-09-24T05:23:17Z,cpu_s,worker-1,27.91
2026-09-24T05:23:17Z,restarts,worker-1,0
2026-09-24T05:23:17Z,rss_kb,worker-2,184796
2026-09-24T05:23:17Z,cpu_s,worker-2,28.13
2026-09-24T05:23:17Z,restarts,worker-2,0
2026-09-24T05:23:17Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:23:17Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:23:17Z,queue,QUEUED,0
2026-09-24T05:23:17Z,queue,IN_PROGRESS,0
2026-09-24T05:23:17Z,queue,oldest_queued_s,0
2026-09-24T05:23:17Z,pg_mem_mib,postgres,273.2
2026-09-24T05:23:17Z,pg_cpu_pct,postgres,3.45
2026-09-24T05:23:23Z,rss_kb,jail,48888
2026-09-24T05:23:23Z,cpu_s,jail,0.02
2026-09-24T05:23:23Z,restarts,jail,0
2026-09-24T05:23:23Z,rss_kb,web,259756
2026-09-24T05:23:23Z,cpu_s,web,229.34
2026-09-24T05:23:23Z,restarts,web,0
2026-09-24T05:23:23Z,rss_kb,worker-1,193440
2026-09-24T05:23:23Z,cpu_s,worker-1,27.91
2026-09-24T05:23:23Z,restarts,worker-1,0
2026-09-24T05:23:23Z,rss_kb,worker-2,184796
2026-09-24T05:23:23Z,cpu_s,worker-2,28.14
2026-09-24T05:23:23Z,restarts,worker-2,0
2026-09-24T05:23:23Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:23:23Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:23:23Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:23:23Z,queue,QUEUED,0
2026-09-24T05:23:23Z,queue,IN_PROGRESS,0
2026-09-24T05:23:23Z,queue,oldest_queued_s,0
2026-09-24T05:23:23Z,pg_mem_mib,postgres,278.0
2026-09-24T05:23:23Z,pg_cpu_pct,postgres,19.54
2026-09-24T05:23:30Z,rss_kb,jail,48888
2026-09-24T05:23:30Z,cpu_s,jail,0.02
2026-09-24T05:23:30Z,restarts,jail,0
2026-09-24T05:23:30Z,rss_kb,web,262788
2026-09-24T05:23:30Z,cpu_s,web,231.36
2026-09-24T05:23:30Z,restarts,web,0
2026-09-24T05:23:30Z,rss_kb,worker-1,193440
2026-09-24T05:23:30Z,cpu_s,worker-1,27.92
2026-09-24T05:23:30Z,restarts,worker-1,0
2026-09-24T05:23:30Z,rss_kb,worker-2,184796
2026-09-24T05:23:30Z,cpu_s,worker-2,28.15
2026-09-24T05:23:30Z,restarts,worker-2,0
2026-09-24T05:23:30Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:23:30Z,pg_conn,slaydx-worker@pop-os|idle,4
2026-09-24T05:23:30Z,queue,QUEUED,0
2026-09-24T05:23:30Z,queue,IN_PROGRESS,0
2026-09-24T05:23:30Z,queue,oldest_queued_s,0
2026-09-24T05:23:30Z,pg_mem_mib,postgres,272.1
