ts,metric,key,value
2026-09-24T05:19:49Z,rss_kb,jail,48888
2026-09-24T05:19:49Z,cpu_s,jail,0.02
2026-09-24T05:19:49Z,restarts,jail,0
2026-09-24T05:19:49Z,rss_kb,web,221100
2026-09-24T05:19:49Z,cpu_s,web,208.50
2026-09-24T05:19:49Z,restarts,web,0
2026-09-24T05:19:49Z,rss_kb,worker-1,149108
2026-09-24T05:19:49Z,cpu_s,worker-1,2.55
2026-09-24T05:19:49Z,restarts,worker-1,0
2026-09-24T05:19:49Z,rss_kb,worker-2,146652
2026-09-24T05:19:49Z,cpu_s,worker-2,2.51
2026-09-24T05:19:49Z,restarts,worker-2,0
2026-09-24T05:19:49Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:19:49Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:19:49Z,queue,QUEUED,0
2026-09-24T05:19:49Z,queue,IN_PROGRESS,0
2026-09-24T05:19:49Z,queue,oldest_queued_s,0
2026-09-24T05:19:49Z,pg_mem_mib,postgres,253.4
2026-09-24T05:19:49Z,pg_cpu_pct,postgres,4.45
2026-09-24T05:19:55Z,rss_kb,jail,48888
2026-09-24T05:19:55Z,cpu_s,jail,0.02
2026-09-24T05:19:55Z,restarts,jail,0
2026-09-24T05:19:55Z,rss_kb,web,226160
2026-09-24T05:19:55Z,cpu_s,web,208.78
2026-09-24T05:19:55Z,restarts,web,0
2026-09-24T05:19:55Z,rss_kb,worker-1,173552
2026-09-24T05:19:55Z,cpu_s,worker-1,3.50
2026-09-24T05:19:55Z,restarts,worker-1,0
2026-09-24T05:19:55Z,rss_kb,worker-2,157856
2026-09-24T05:19:55Z,cpu_s,worker-2,3.14
2026-09-24T05:19:55Z,restarts,worker-2,0
2026-09-24T05:19:55Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:19:55Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:19:55Z,queue,QUEUED,1
2026-09-24T05:19:55Z,queue,IN_PROGRESS,0
2026-09-24T05:19:55Z,queue,oldest_queued_s,0
2026-09-24T05:19:55Z,pg_mem_mib,postgres,255.2
2026-09-24T05:19:55Z,pg_cpu_pct,postgres,4.01
2026-09-24T05:20:01Z,rss_kb,jail,48888
2026-09-24T05:20:01Z,cpu_s,jail,0.02
2026-09-24T05:20:01Z,restarts,jail,0
2026-09-24T05:20:01Z,rss_kb,web,230356
2026-09-24T05:20:01Z,cpu_s,web,209.08
2026-09-24T05:20:01Z,restarts,web,0
2026-09-24T05:20:01Z,rss_kb,worker-1,178216
2026-09-24T05:20:01Z,cpu_s,worker-1,3.77
2026-09-24T05:20:01Z,restarts,worker-1,0
2026-09-24T05:20:01Z,rss_kb,worker-2,169100
2026-09-24T05:20:01Z,cpu_s,worker-2,3.75
2026-09-24T05:20:01Z,restarts,worker-2,0
2026-09-24T05:20:01Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:20:01Z,pg_conn,slaydx-worker@pop-os|active,1
2026-09-24T05:20:01Z,pg_conn,slaydx-worker@pop-os|idle,4
2026-09-24T05:20:01Z,queue,QUEUED,3
2026-09-24T05:20:01Z,queue,IN_PROGRESS,0
2026-09-24T05:20:01Z,queue,oldest_queued_s,0
2026-09-24T05:20:01Z,pg_mem_mib,postgres,249.5
2026-09-24T05:20:01Z,pg_cpu_pct,postgres,5.81
2026-09-24T05:20:08Z,rss_kb,jail,48888
2026-09-24T05:20:08Z,cpu_s,jail,0.02
2026-09-24T05:20:08Z,restarts,jail,0
2026-09-24T05:20:08Z,rss_kb,web,235532
2026-09-24T05:20:08Z,cpu_s,web,209.40
2026-09-24T05:20:08Z,restarts,web,0
2026-09-24T05:20:08Z,rss_kb,worker-1,177896
2026-09-24T05:20:08Z,cpu_s,worker-1,4.41
2026-09-24T05:20:08Z,restarts,worker-1,0
2026-09-24T05:20:08Z,rss_kb,worker-2,182148
2026-09-24T05:20:08Z,cpu_s,worker-2,4.56
2026-09-24T05:20:08Z,restarts,worker-2,0
2026-09-24T05:20:08Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:20:08Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:20:08Z,queue,QUEUED,1
2026-09-24T05:20:08Z,queue,IN_PROGRESS,0
2026-09-24T05:20:08Z,queue,oldest_queued_s,0
2026-09-24T05:20:08Z,pg_mem_mib,postgres,249.4
2026-09-24T05:20:08Z,pg_cpu_pct,postgres,4.28
2026-09-24T05:20:14Z,rss_kb,jail,48888
2026-09-24T05:20:14Z,cpu_s,jail,0.02
2026-09-24T05:20:14Z,restarts,jail,0
2026-09-24T05:20:14Z,rss_kb,web,238208
2026-09-24T05:20:14Z,cpu_s,web,209.65
2026-09-24T05:20:14Z,restarts,web,0
2026-09-24T05:20:14Z,rss_kb,worker-1,187536
2026-09-24T05:20:14Z,cpu_s,worker-1,4.99
2026-09-24T05:20:14Z,restarts,worker-1,0
2026-09-24T05:20:14Z,rss_kb,worker-2,178568
2026-09-24T05:20:14Z,cpu_s,worker-2,5.14
2026-09-24T05:20:14Z,restarts,worker-2,0
2026-09-24T05:20:14Z,pg_conn,slaydx-web@pop-os|idle,1
2026-09-24T05:20:14Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:20:14Z,queue,QUEUED,3
2026-09-24T05:20:14Z,queue,IN_PROGRESS,1
2026-09-24T05:20:14Z,queue,oldest_queued_s,0
2026-09-24T05:20:14Z,pg_mem_mib,postgres,250.5
2026-09-24T05:20:14Z,pg_cpu_pct,postgres,6.00
2026-09-24T05:20:20Z,rss_kb,jail,48888
