ts,metric,key,value
2026-09-24T05:32:15Z,rss_kb,jail,48888
2026-09-24T05:32:15Z,cpu_s,jail,0.02
2026-09-24T05:32:15Z,restarts,jail,0
2026-09-24T05:32:15Z,rss_kb,web,296300
2026-09-24T05:32:15Z,cpu_s,web,422.35
2026-09-24T05:32:15Z,restarts,web,0
2026-09-24T05:32:15Z,rss_kb,worker-1,189336
2026-09-24T05:32:15Z,cpu_s,worker-1,28.40
2026-09-24T05:32:15Z,restarts,worker-1,0
2026-09-24T05:32:15Z,rss_kb,worker-2,185008
2026-09-24T05:32:15Z,cpu_s,worker-2,28.60
2026-09-24T05:32:15Z,restarts,worker-2,0
2026-09-24T05:32:15Z,pg_conn,slaydx-web@pop-os|idle,3
2026-09-24T05:32:15Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:32:15Z,queue,QUEUED,0
2026-09-24T05:32:15Z,queue,IN_PROGRESS,0
2026-09-24T05:32:15Z,queue,oldest_queued_s,0
2026-09-24T05:32:15Z,pg_mem_mib,postgres,322.9
2026-09-24T05:32:15Z,pg_cpu_pct,postgres,8.10
2026-09-24T05:32:21Z,rss_kb,jail,48888
2026-09-24T05:32:21Z,cpu_s,jail,0.02
2026-09-24T05:32:21Z,restarts,jail,0
2026-09-24T05:32:21Z,rss_kb,web,296328
2026-09-24T05:32:21Z,cpu_s,web,423.34
2026-09-24T05:32:21Z,restarts,web,0
2026-09-24T05:32:21Z,rss_kb,worker-1,193740
2026-09-24T05:32:21Z,cpu_s,worker-1,28.49
2026-09-24T05:32:21Z,restarts,worker-1,0
2026-09-24T05:32:21Z,rss_kb,worker-2,189240
2026-09-24T05:32:21Z,cpu_s,worker-2,28.70
2026-09-24T05:32:21Z,restarts,worker-2,0
2026-09-24T05:32:21Z,pg_conn,slaydx-web@pop-os|idle,3
2026-09-24T05:32:21Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:32:21Z,queue,QUEUED,2
2026-09-24T05:32:21Z,queue,IN_PROGRESS,1
2026-09-24T05:32:21Z,queue,oldest_queued_s,1
2026-09-24T05:32:21Z,pg_mem_mib,postgres,325.5
2026-09-24T05:32:21Z,pg_cpu_pct,postgres,10.82
2026-09-24T05:32:27Z,rss_kb,jail,48888
2026-09-24T05:32:27Z,cpu_s,jail,0.02
2026-09-24T05:32:27Z,restarts,jail,0
2026-09-24T05:32:27Z,rss_kb,web,299972
2026-09-24T05:32:27Z,cpu_s,web,425.26
2026-09-24T05:32:27Z,restarts,web,0
2026-09-24T05:32:27Z,rss_kb,worker-1,188388
2026-09-24T05:32:27Z,cpu_s,worker-1,28.67
2026-09-24T05:32:27Z,restarts,worker-1,0
2026-09-24T05:32:27Z,rss_kb,worker-2,188996
2026-09-24T05:32:27Z,cpu_s,worker-2,29.00
2026-09-24T05:32:27Z,restarts,worker-2,0
2026-09-24T05:32:27Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:32:27Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:32:27Z,queue,QUEUED,0
2026-09-24T05:32:27Z,queue,IN_PROGRESS,0
2026-09-24T05:32:27Z,queue,oldest_queued_s,0
2026-09-24T05:32:27Z,pg_mem_mib,postgres,330.3
2026-09-24T05:32:27Z,pg_cpu_pct,postgres,20.81
2026-09-24T05:32:33Z,rss_kb,jail,48888
2026-09-24T05:32:33Z,cpu_s,jail,0.02
2026-09-24T05:32:33Z,restarts,jail,0
2026-09-24T05:32:33Z,rss_kb,web,304988
2026-09-24T05:32:33Z,cpu_s,web,427.78
2026-09-24T05:32:33Z,restarts,web,0
2026-09-24T05:32:33Z,rss_kb,worker-1,193452
2026-09-24T05:32:33Z,cpu_s,worker-1,28.95
2026-09-24T05:32:33Z,restarts,worker-1,0
2026-09-24T05:32:33Z,rss_kb,worker-2,189740
2026-09-24T05:32:33Z,cpu_s,worker-2,29.33
2026-09-24T05:32:33Z,restarts,worker-2,0
2026-09-24T05:32:33Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:32:33Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:32:33Z,queue,QUEUED,1
2026-09-24T05:32:33Z,queue,IN_PROGRESS,0
2026-09-24T05:32:33Z,queue,oldest_queued_s,0
2026-09-24T05:32:33Z,pg_mem_mib,postgres,336.2
2026-09-24T05:32:33Z,pg_cpu_pct,postgres,22.53
2026-09-24T05:32:39Z,rss_kb,jail,48888
2026-09-24T05:32:39Z,cpu_s,jail,0.02
2026-09-24T05:32:39Z,restarts,jail,0
2026-09-24T05:32:39Z,rss_kb,web,313380
2026-09-24T05:32:39Z,cpu_s,web,430.84
2026-09-24T05:32:39Z,restarts,web,0
2026-09-24T05:32:39Z,rss_kb,worker-1,188388
2026-09-24T05:32:39Z,cpu_s,worker-1,29.22
2026-09-24T05:32:39Z,restarts,worker-1,0
2026-09-24T05:32:39Z,rss_kb,worker-2,185088
2026-09-24T05:32:39Z,cpu_s,worker-2,29.60
2026-09-24T05:32:39Z,restarts,worker-2,0
2026-09-24T05:32:39Z,pg_conn,slaydx-web@pop-os|idle,8
2026-09-24T05:32:39Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:32:39Z,queue,QUEUED,1
2026-09-24T05:32:39Z,queue,IN_PROGRESS,0
2026-09-24T05:32:39Z,queue,oldest_queued_s,0
2026-09-24T05:32:39Z,pg_mem_mib,postgres,339.9
2026-09-24T05:32:39Z,pg_cpu_pct,postgres,31.36
2026-09-24T05:32:45Z,rss_kb,jail,48888
2026-09-24T05:32:45Z,cpu_s,jail,0.02
2026-09-24T05:32:45Z,restarts,jail,0
2026-09-24T05:32:45Z,rss_kb,web,339608
2026-09-24T05:32:45Z,cpu_s,web,433.94
2026-09-24T05:32:45Z,restarts,web,0
2026-09-24T05:32:45Z,rss_kb,worker-1,188328
2026-09-24T05:32:45Z,cpu_s,worker-1,29.56
2026-09-24T05:32:45Z,restarts,worker-1,0
2026-09-24T05:32:45Z,rss_kb,worker-2,197560
2026-09-24T05:32:45Z,cpu_s,worker-2,29.76
2026-09-24T05:32:45Z,restarts,worker-2,0
2026-09-24T05:32:45Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:32:45Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:32:45Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:32:45Z,queue,QUEUED,2
2026-09-24T05:32:45Z,queue,IN_PROGRESS,0
2026-09-24T05:32:45Z,queue,oldest_queued_s,0
2026-09-24T05:32:45Z,pg_mem_mib,postgres,340.1
2026-09-24T05:32:45Z,pg_cpu_pct,postgres,37.95
2026-09-24T05:32:52Z,rss_kb,jail,48888
2026-09-24T05:32:52Z,cpu_s,jail,0.02
2026-09-24T05:32:52Z,restarts,jail,0
2026-09-24T05:32:52Z,rss_kb,web,343048
2026-09-24T05:32:52Z,cpu_s,web,437.09
2026-09-24T05:32:52Z,restarts,web,0
2026-09-24T05:32:52Z,rss_kb,worker-1,195676
2026-09-24T05:32:52Z,cpu_s,worker-1,29.76
2026-09-24T05:32:52Z,restarts,worker-1,0
2026-09-24T05:32:52Z,rss_kb,worker-2,188564
2026-09-24T05:32:52Z,cpu_s,worker-2,30.07
2026-09-24T05:32:52Z,restarts,worker-2,0
2026-09-24T05:32:52Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:32:52Z,pg_conn,slaydx-web@pop-os|idle,8
2026-09-24T05:32:52Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:32:52Z,queue,QUEUED,2
2026-09-24T05:32:52Z,queue,IN_PROGRESS,0
2026-09-24T05:32:52Z,queue,oldest_queued_s,1
2026-09-24T05:32:52Z,pg_mem_mib,postgres,342.4
2026-09-24T05:32:52Z,pg_cpu_pct,postgres,42.84
2026-09-24T05:32:58Z,rss_kb,jail,48888
2026-09-24T05:32:58Z,cpu_s,jail,0.02
2026-09-24T05:32:58Z,restarts,jail,0
2026-09-24T05:32:58Z,rss_kb,web,343908
2026-09-24T05:32:58Z,cpu_s,web,440.65
2026-09-24T05:32:58Z,restarts,web,0
2026-09-24T05:32:58Z,rss_kb,worker-1,188408
2026-09-24T05:32:58Z,cpu_s,worker-1,30.00
2026-09-24T05:32:58Z,restarts,worker-1,0
2026-09-24T05:32:58Z,rss_kb,worker-2,193236
2026-09-24T05:32:58Z,cpu_s,worker-2,30.29
2026-09-24T05:32:58Z,restarts,worker-2,0
2026-09-24T05:32:58Z,pg_conn,slaydx-web@pop-os|active,2
2026-09-24T05:32:58Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:32:58Z,pg_conn,slaydx-worker@pop-os|idle,5
2026-09-24T05:32:58Z,queue,QUEUED,4
2026-09-24T05:32:58Z,queue,IN_PROGRESS,0
2026-09-24T05:32:58Z,queue,oldest_queued_s,1
2026-09-24T05:32:58Z,pg_mem_mib,postgres,341.6
2026-09-24T05:32:58Z,pg_cpu_pct,postgres,52.80
2026-09-24T05:33:04Z,rss_kb,jail,48888
2026-09-24T05:33:04Z,cpu_s,jail,0.02
2026-09-24T05:33:04Z,restarts,jail,0
2026-09-24T05:33:04Z,rss_kb,web,347608
2026-09-24T05:33:04Z,cpu_s,web,444.55
2026-09-24T05:33:04Z,restarts,web,0
2026-09-24T05:33:04Z,rss_kb,worker-1,199436
2026-09-24T05:33:04Z,cpu_s,worker-1,30.15
2026-09-24T05:33:04Z,restarts,worker-1,0
2026-09-24T05:33:04Z,rss_kb,worker-2,189708
2026-09-24T05:33:04Z,cpu_s,worker-2,30.46
2026-09-24T05:33:04Z,restarts,worker-2,0
2026-09-24T05:33:04Z,pg_conn,slaydx-web@pop-os|idle,10
2026-09-24T05:33:04Z,pg_conn,slaydx-worker@pop-os|idle,6
2026-09-24T05:33:04Z,queue,QUEUED,4
2026-09-24T05:33:04Z,queue,IN_PROGRESS,0
2026-09-24T05:33:04Z,queue,oldest_queued_s,1
2026-09-24T05:33:04Z,pg_mem_mib,postgres,347.8
2026-09-24T05:33:04Z,pg_cpu_pct,postgres,58.50
2026-09-24T05:33:10Z,rss_kb,jail,48888
2026-09-24T05:33:10Z,cpu_s,jail,0.02
2026-09-24T05:33:10Z,restarts,jail,0
2026-09-24T05:33:10Z,rss_kb,web,349016
2026-09-24T05:33:10Z,cpu_s,web,448.77
2026-09-24T05:33:10Z,restarts,web,0
2026-09-24T05:33:10Z,rss_kb,worker-1,189404
2026-09-24T05:33:10Z,cpu_s,worker-1,30.41
2026-09-24T05:33:10Z,restarts,worker-1,0
2026-09-24T05:33:10Z,rss_kb,worker-2,198612
2026-09-24T05:33:10Z,cpu_s,worker-2,30.60
2026-09-24T05:33:10Z,restarts,worker-2,0
2026-09-24T05:33:10Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:33:10Z,pg_conn,slaydx-web@pop-os|idle,9
2026-09-24T05:33:10Z,pg_conn,slaydx-worker@pop-os|idle,6
2026-09-24T05:33:10Z,queue,QUEUED,1
2026-09-24T05:33:10Z,queue,IN_PROGRESS,0
2026-09-24T05:33:10Z,queue,oldest_queued_s,0
2026-09-24T05:33:10Z,pg_mem_mib,postgres,347.4
