ts,metric,key,value
2026-09-24T05:15:19Z,rss_kb,jail,48888
2026-09-24T05:15:19Z,cpu_s,jail,0.02
2026-09-24T05:15:19Z,restarts,jail,0
2026-09-24T05:15:19Z,rss_kb,web,218212
2026-09-24T05:15:19Z,cpu_s,web,115.81
2026-09-24T05:15:19Z,restarts,web,0
2026-09-24T05:15:19Z,rss_kb,worker-1,148368
2026-09-24T05:15:19Z,cpu_s,worker-1,2.31
2026-09-24T05:15:19Z,restarts,worker-1,0
2026-09-24T05:15:19Z,rss_kb,worker-2,146040
2026-09-24T05:15:19Z,cpu_s,worker-2,2.27
2026-09-24T05:15:19Z,restarts,worker-2,0
2026-09-24T05:15:19Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:15:19Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:15:19Z,queue,QUEUED,0
2026-09-24T05:15:19Z,queue,IN_PROGRESS,0
2026-09-24T05:15:19Z,queue,oldest_queued_s,0
2026-09-24T05:15:19Z,pg_mem_mib,postgres,247.0
2026-09-24T05:15:19Z,pg_cpu_pct,postgres,5.37
2026-09-24T05:15:25Z,rss_kb,jail,48888
2026-09-24T05:15:25Z,cpu_s,jail,0.02
2026-09-24T05:15:25Z,restarts,jail,0
2026-09-24T05:15:25Z,rss_kb,web,235068
2026-09-24T05:15:25Z,cpu_s,web,116.87
2026-09-24T05:15:25Z,restarts,web,0
2026-09-24T05:15:25Z,rss_kb,worker-1,148392
2026-09-24T05:15:25Z,cpu_s,worker-1,2.31
2026-09-24T05:15:25Z,restarts,worker-1,0
2026-09-24T05:15:25Z,rss_kb,worker-2,146068
2026-09-24T05:15:25Z,cpu_s,worker-2,2.28
2026-09-24T05:15:25Z,restarts,worker-2,0
2026-09-24T05:15:25Z,pg_conn,slaydx-web@pop-os|idle,3
2026-09-24T05:15:25Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:15:25Z,queue,QUEUED,0
2026-09-24T05:15:25Z,queue,IN_PROGRESS,0
2026-09-24T05:15:25Z,queue,oldest_queued_s,0
2026-09-24T05:15:25Z,pg_mem_mib,postgres,245.6
2026-09-24T05:15:25Z,pg_cpu_pct,postgres,9.39
2026-09-24T05:15:32Z,rss_kb,jail,48888
2026-09-24T05:15:32Z,cpu_s,jail,0.02
2026-09-24T05:15:32Z,restarts,jail,0
2026-09-24T05:15:32Z,rss_kb,web,252396
2026-09-24T05:15:32Z,cpu_s,web,118.50
2026-09-24T05:15:32Z,restarts,web,0
2026-09-24T05:15:32Z,rss_kb,worker-1,148420
2026-09-24T05:15:32Z,cpu_s,worker-1,2.32
2026-09-24T05:15:32Z,restarts,worker-1,0
2026-09-24T05:15:32Z,rss_kb,worker-2,146092
2026-09-24T05:15:32Z,cpu_s,worker-2,2.28
2026-09-24T05:15:32Z,restarts,worker-2,0
2026-09-24T05:15:32Z,pg_conn,slaydx-web@pop-os|idle,3
2026-09-24T05:15:32Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:15:32Z,queue,QUEUED,0
2026-09-24T05:15:32Z,queue,IN_PROGRESS,0
2026-09-24T05:15:32Z,queue,oldest_queued_s,0
2026-09-24T05:15:32Z,pg_mem_mib,postgres,245.7
2026-09-24T05:15:32Z,pg_cpu_pct,postgres,12.76
2026-09-24T05:15:38Z,rss_kb,jail,48888
2026-09-24T05:15:38Z,cpu_s,jail,0.02
2026-09-24T05:15:38Z,restarts,jail,0
2026-09-24T05:15:38Z,rss_kb,web,255032
2026-09-24T05:15:38Z,cpu_s,web,120.33
2026-09-24T05:15:38Z,restarts,web,0
2026-09-24T05:15:38Z,rss_kb,worker-1,148448
2026-09-24T05:15:38Z,cpu_s,worker-1,2.32
2026-09-24T05:15:38Z,restarts,worker-1,0
2026-09-24T05:15:38Z,rss_kb,worker-2,146120
2026-09-24T05:15:38Z,cpu_s,worker-2,2.29
2026-09-24T05:15:38Z,restarts,worker-2,0
2026-09-24T05:15:38Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:15:38Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:15:38Z,queue,QUEUED,0
2026-09-24T05:15:38Z,queue,IN_PROGRESS,0
2026-09-24T05:15:38Z,queue,oldest_queued_s,0
2026-09-24T05:15:38Z,pg_mem_mib,postgres,247.9
2026-09-24T05:15:38Z,pg_cpu_pct,postgres,15.47
2026-09-24T05:15:44Z,rss_kb,jail,48888
2026-09-24T05:15:44Z,cpu_s,jail,0.02
2026-09-24T05:15:44Z,restarts,jail,0
2026-09-24T05:15:44Z,rss_kb,web,259500
2026-09-24T05:15:44Z,cpu_s,web,121.99
2026-09-24T05:15:44Z,restarts,web,0
2026-09-24T05:15:44Z,rss_kb,worker-1,148476
2026-09-24T05:15:44Z,cpu_s,worker-1,2.33
2026-09-24T05:15:44Z,restarts,worker-1,0
2026-09-24T05:15:44Z,rss_kb,worker-2,146144
2026-09-24T05:15:44Z,cpu_s,worker-2,2.29
2026-09-24T05:15:44Z,restarts,worker-2,0
2026-09-24T05:15:44Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:15:44Z,pg_conn,slaydx-web@pop-os|idle,4
2026-09-24T05:15:44Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:15:44Z,queue,QUEUED,0
2026-09-24T05:15:44Z,queue,IN_PROGRESS,0
2026-09-24T05:15:44Z,queue,oldest_queued_s,0
2026-09-24T05:15:44Z,pg_mem_mib,postgres,250.2
2026-09-24T05:15:44Z,pg_cpu_pct,postgres,24.71
2026-09-24T05:15:50Z,rss_kb,jail,48888
2026-09-24T05:15:50Z,cpu_s,jail,0.02
2026-09-24T05:15:50Z,restarts,jail,0
2026-09-24T05:15:50Z,rss_kb,web,262840
2026-09-24T05:15:50Z,cpu_s,web,123.90
2026-09-24T05:15:50Z,restarts,web,0
2026-09-24T05:15:50Z,rss_kb,worker-1,148536
2026-09-24T05:15:50Z,cpu_s,worker-1,2.34
2026-09-24T05:15:50Z,restarts,worker-1,0
2026-09-24T05:15:50Z,rss_kb,worker-2,146180
2026-09-24T05:15:50Z,cpu_s,worker-2,2.30
2026-09-24T05:15:50Z,restarts,worker-2,0
2026-09-24T05:15:50Z,pg_conn,slaydx-web@pop-os|idle,5
2026-09-24T05:15:50Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:15:50Z,queue,QUEUED,0
2026-09-24T05:15:50Z,queue,IN_PROGRESS,0
2026-09-24T05:15:50Z,queue,oldest_queued_s,0
2026-09-24T05:15:50Z,pg_mem_mib,postgres,253.3
2026-09-24T05:15:50Z,pg_cpu_pct,postgres,28.43
2026-09-24T05:15:56Z,rss_kb,jail,48888
2026-09-24T05:15:56Z,cpu_s,jail,0.02
2026-09-24T05:15:56Z,restarts,jail,0
2026-09-24T05:15:56Z,rss_kb,web,269724
2026-09-24T05:15:56Z,cpu_s,web,126.02
2026-09-24T05:15:56Z,restarts,web,0
2026-09-24T05:15:56Z,rss_kb,worker-1,148568
2026-09-24T05:15:56Z,cpu_s,worker-1,2.35
2026-09-24T05:15:56Z,restarts,worker-1,0
2026-09-24T05:15:56Z,rss_kb,worker-2,146212
2026-09-24T05:15:56Z,cpu_s,worker-2,2.31
2026-09-24T05:15:56Z,restarts,worker-2,0
2026-09-24T05:15:56Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:15:56Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:15:56Z,queue,QUEUED,0
2026-09-24T05:15:56Z,queue,IN_PROGRESS,0
2026-09-24T05:15:56Z,queue,oldest_queued_s,0
2026-09-24T05:15:56Z,pg_mem_mib,postgres,255.2
2026-09-24T05:15:56Z,pg_cpu_pct,postgres,30.50
2026-09-24T05:16:02Z,rss_kb,jail,48888
2026-09-24T05:16:02Z,cpu_s,jail,0.02
2026-09-24T05:16:02Z,restarts,jail,0
2026-09-24T05:16:02Z,rss_kb,web,274876
2026-09-24T05:16:02Z,cpu_s,web,128.39
2026-09-24T05:16:02Z,restarts,web,0
2026-09-24T05:16:02Z,rss_kb,worker-1,148592
2026-09-24T05:16:02Z,cpu_s,worker-1,2.35
2026-09-24T05:16:02Z,restarts,worker-1,0
2026-09-24T05:16:02Z,rss_kb,worker-2,146236
2026-09-24T05:16:02Z,cpu_s,worker-2,2.31
2026-09-24T05:16:02Z,restarts,worker-2,0
2026-09-24T05:16:02Z,pg_conn,slaydx-web@pop-os|active,1
2026-09-24T05:16:02Z,pg_conn,slaydx-web@pop-os|idle,6
2026-09-24T05:16:02Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:16:02Z,queue,QUEUED,0
2026-09-24T05:16:02Z,queue,IN_PROGRESS,0
2026-09-24T05:16:02Z,queue,oldest_queued_s,0
2026-09-24T05:16:02Z,pg_mem_mib,postgres,255.6
2026-09-24T05:16:02Z,pg_cpu_pct,postgres,34.57
2026-09-24T05:16:09Z,rss_kb,jail,48888
2026-09-24T05:16:09Z,cpu_s,jail,0.02
2026-09-24T05:16:09Z,restarts,jail,0
2026-09-24T05:16:09Z,rss_kb,web,283820
2026-09-24T05:16:09Z,cpu_s,web,130.48
2026-09-24T05:16:09Z,restarts,web,0
2026-09-24T05:16:09Z,rss_kb,worker-1,148616
2026-09-24T05:16:09Z,cpu_s,worker-1,2.36
2026-09-24T05:16:09Z,restarts,worker-1,0
2026-09-24T05:16:09Z,rss_kb,worker-2,146264
2026-09-24T05:16:09Z,cpu_s,worker-2,2.32
2026-09-24T05:16:09Z,restarts,worker-2,0
2026-09-24T05:16:09Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:16:09Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:16:09Z,queue,QUEUED,0
2026-09-24T05:16:09Z,queue,IN_PROGRESS,0
2026-09-24T05:16:09Z,queue,oldest_queued_s,0
2026-09-24T05:16:09Z,pg_mem_mib,postgres,255.9
2026-09-24T05:16:09Z,pg_cpu_pct,postgres,35.78
2026-09-24T05:16:15Z,rss_kb,jail,48888
2026-09-24T05:16:15Z,cpu_s,jail,0.02
2026-09-24T05:16:15Z,restarts,jail,0
2026-09-24T05:16:15Z,rss_kb,web,290752
2026-09-24T05:16:15Z,cpu_s,web,132.62
2026-09-24T05:16:15Z,restarts,web,0
2026-09-24T05:16:15Z,rss_kb,worker-1,148648
2026-09-24T05:16:15Z,cpu_s,worker-1,2.36
2026-09-24T05:16:15Z,restarts,worker-1,0
2026-09-24T05:16:15Z,rss_kb,worker-2,146292
2026-09-24T05:16:15Z,cpu_s,worker-2,2.32
2026-09-24T05:16:15Z,restarts,worker-2,0
2026-09-24T05:16:15Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:16:15Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:16:15Z,queue,QUEUED,0
2026-09-24T05:16:15Z,queue,IN_PROGRESS,0
2026-09-24T05:16:15Z,queue,oldest_queued_s,0
2026-09-24T05:16:15Z,pg_mem_mib,postgres,257.9
2026-09-24T05:16:15Z,pg_cpu_pct,postgres,41.36
2026-09-24T05:16:21Z,rss_kb,jail,48888
2026-09-24T05:16:21Z,cpu_s,jail,0.02
2026-09-24T05:16:21Z,restarts,jail,0
2026-09-24T05:16:21Z,rss_kb,web,291344
2026-09-24T05:16:21Z,cpu_s,web,135.03
2026-09-24T05:16:21Z,restarts,web,0
2026-09-24T05:16:21Z,rss_kb,worker-1,148676
2026-09-24T05:16:21Z,cpu_s,worker-1,2.37
2026-09-24T05:16:21Z,restarts,worker-1,0
2026-09-24T05:16:21Z,rss_kb,worker-2,146316
2026-09-24T05:16:21Z,cpu_s,worker-2,2.33
