ts,metric,key,value
2026-09-24T05:27:45Z,rss_kb,jail,48888
2026-09-24T05:27:45Z,cpu_s,jail,0.02
2026-09-24T05:27:45Z,restarts,jail,0
2026-09-24T05:27:45Z,rss_kb,web,259340
2026-09-24T05:27:45Z,cpu_s,web,391.17
2026-09-24T05:27:45Z,restarts,web,0
2026-09-24T05:27:45Z,rss_kb,worker-1,193632
2026-09-24T05:27:45Z,cpu_s,worker-1,28.10
2026-09-24T05:27:45Z,restarts,worker-1,0
2026-09-24T05:27:45Z,rss_kb,worker-2,184984
2026-09-24T05:27:45Z,cpu_s,worker-2,28.34
2026-09-24T05:27:45Z,restarts,worker-2,0
2026-09-24T05:27:45Z,pg_conn,slaydx-web@pop-os|idle,10
2026-09-24T05:27:45Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:27:45Z,queue,QUEUED,0
2026-09-24T05:27:45Z,queue,IN_PROGRESS,0
2026-09-24T05:27:45Z,queue,oldest_queued_s,0
2026-09-24T05:27:45Z,pg_mem_mib,postgres,287.6
2026-09-24T05:27:45Z,pg_cpu_pct,postgres,1.46
2026-09-24T05:27:51Z,rss_kb,jail,48888
2026-09-24T05:27:51Z,cpu_s,jail,0.02
2026-09-24T05:27:51Z,restarts,jail,0
2026-09-24T05:27:51Z,rss_kb,web,262444
2026-09-24T05:27:51Z,cpu_s,web,391.32
2026-09-24T05:27:51Z,restarts,web,0
2026-09-24T05:27:51Z,rss_kb,worker-1,193632
2026-09-24T05:27:51Z,cpu_s,worker-1,28.10
2026-09-24T05:27:51Z,restarts,worker-1,0
2026-09-24T05:27:51Z,rss_kb,worker-2,184984
2026-09-24T05:27:51Z,cpu_s,worker-2,28.35
2026-09-24T05:27:51Z,restarts,worker-2,0
2026-09-24T05:27:51Z,pg_conn,slaydx-web@pop-os|idle,7
2026-09-24T05:27:51Z,pg_conn,slaydx-worker@pop-os|idle,3
2026-09-24T05:27:51Z,queue,QUEUED,0
2026-09-24T05:27:51Z,queue,IN_PROGRESS,0
2026-09-24T05:27:51Z,queue,oldest_queued_s,0
2026-09-24T05:27:51Z,pg_mem_mib,postgres,276.3
2026-09-24T05:27:51Z,pg_cpu_pct,postgres,7.64
2026-09-24T05:27:58Z,rss_kb,jail,48888
2026-09-24T05:27:58Z,cpu_s,jail,0.02
2026-09-24T05:27:58Z,restarts,jail,0
2026-09-24T05:27:58Z,rss_kb,web,267360
