ts,metric,key,value
2026-09-24T04:26:17Z,rss_kb,jail,48848
2026-09-24T04:26:17Z,cpu_s,jail,0.03
2026-09-24T04:26:17Z,restarts,jail,0
2026-09-24T04:26:17Z,rss_kb,web,197888
2026-09-24T04:26:17Z,cpu_s,web,1.08
2026-09-24T04:26:17Z,restarts,web,0
2026-09-24T04:26:17Z,rss_kb,worker-1,188088
2026-09-24T04:26:17Z,cpu_s,worker-1,1.90
2026-09-24T04:26:17Z,restarts,worker-1,0
2026-09-24T04:26:17Z,rss_kb,worker-2,187452
2026-09-24T04:26:17Z,cpu_s,worker-2,1.80
2026-09-24T04:26:17Z,restarts,worker-2,0
2026-09-24T04:26:17Z,pg_conn,slaydx|idle,3
2026-09-24T04:26:17Z,queue,QUEUED,0
2026-09-24T04:26:17Z,queue,IN_PROGRESS,0
2026-09-24T04:26:17Z,queue,oldest_queued_s,0
2026-09-24T04:26:17Z,pg_mem_mib,postgres,199.1
2026-09-24T04:26:17Z,pg_cpu_pct,postgres,0.92
2026-09-24T04:26:23Z,rss_kb,jail,48848
2026-09-24T04:26:23Z,cpu_s,jail,0.03
2026-09-24T04:26:23Z,restarts,jail,0
2026-09-24T04:26:23Z,rss_kb,web,216484
2026-09-24T04:26:23Z,cpu_s,web,1.82
2026-09-24T04:26:23Z,restarts,web,0
2026-09-24T04:26:23Z,rss_kb,worker-1,188168
2026-09-24T04:26:23Z,cpu_s,worker-1,1.90
2026-09-24T04:26:23Z,restarts,worker-1,0
2026-09-24T04:26:23Z,rss_kb,worker-2,187532
2026-09-24T04:26:23Z,cpu_s,worker-2,1.81
2026-09-24T04:26:23Z,restarts,worker-2,0
2026-09-24T04:26:23Z,pg_conn,slaydx|idle,4
2026-09-24T04:26:23Z,queue,QUEUED,0
2026-09-24T04:26:23Z,queue,IN_PROGRESS,0
2026-09-24T04:26:23Z,queue,oldest_queued_s,0
2026-09-24T04:26:23Z,pg_mem_mib,postgres,201.6
2026-09-24T04:26:23Z,pg_cpu_pct,postgres,2.31
2026-09-24T04:26:30Z,rss_kb,jail,48848
2026-09-24T04:26:30Z,cpu_s,jail,0.03
2026-09-24T04:26:30Z,restarts,jail,0
