ts,metric,key,value
2026-09-24T04:54:41Z,rss_kb,jail,48848
2026-09-24T04:54:41Z,cpu_s,jail,0.03
2026-09-24T04:54:41Z,restarts,jail,0
2026-09-24T04:54:41Z,rss_kb,web,253080
2026-09-24T04:54:41Z,cpu_s,web,582.31
2026-09-24T04:54:41Z,restarts,web,0
2026-09-24T04:54:41Z,rss_kb,worker-1,186248
2026-09-24T04:54:41Z,cpu_s,worker-1,72.73
2026-09-24T04:54:41Z,restarts,worker-1,0
2026-09-24T04:54:41Z,rss_kb,worker-2,185308
2026-09-24T04:54:41Z,cpu_s,worker-2,73.90
2026-09-24T04:54:41Z,restarts,worker-2,0
2026-09-24T04:54:41Z,pg_conn,slaydx|idle,12
2026-09-24T04:54:41Z,queue,QUEUED,0
2026-09-24T04:54:41Z,queue,IN_PROGRESS,0
2026-09-24T04:54:41Z,queue,oldest_queued_s,0
2026-09-24T04:54:41Z,pg_mem_mib,postgres,215.2
2026-09-24T04:54:41Z,pg_cpu_pct,postgres,7.41
2026-09-24T04:54:44Z,rss_kb,jail,48848
2026-09-24T04:54:44Z,cpu_s,jail,0.03
2026-09-24T04:54:44Z,restarts,jail,0
2026-09-24T04:54:44Z,rss_kb,web,257768
2026-09-24T04:54:44Z,cpu_s,web,582.56
2026-09-24T04:54:44Z,restarts,web,0
2026-09-24T04:54:44Z,rss_kb,worker-1,186248
2026-09-24T04:54:44Z,cpu_s,worker-1,72.73
2026-09-24T04:54:44Z,restarts,worker-1,0
2026-09-24T04:54:44Z,rss_kb,worker-2,189844
2026-09-24T04:54:44Z,cpu_s,worker-2,73.92
2026-09-24T04:54:44Z,restarts,worker-2,0
2026-09-24T04:54:44Z,pg_conn,slaydx|idle,8
2026-09-24T04:54:44Z,queue,QUEUED,1
2026-09-24T04:54:44Z,queue,IN_PROGRESS,0
2026-09-24T04:54:44Z,queue,oldest_queued_s,0
2026-09-24T04:54:44Z,pg_mem_mib,postgres,212.4
2026-09-24T04:54:44Z,pg_cpu_pct,postgres,5.97
2026-09-24T04:54:47Z,rss_kb,jail,48848
2026-09-24T04:54:47Z,cpu_s,jail,0.03
2026-09-24T04:54:47Z,restarts,jail,0
2026-09-24T04:54:47Z,rss_kb,web,267104
2026-09-24T04:54:47Z,cpu_s,web,583.03
2026-09-24T04:54:47Z,restarts,web,0
2026-09-24T04:54:47Z,rss_kb,worker-1,190796
2026-09-24T04:54:47Z,cpu_s,worker-1,72.75
2026-09-24T04:54:47Z,restarts,worker-1,0
2026-09-24T04:54:47Z,rss_kb,worker-2,194344
2026-09-24T04:54:47Z,cpu_s,worker-2,73.94
2026-09-24T04:54:47Z,restarts,worker-2,0
2026-09-24T04:54:47Z,pg_conn,slaydx|idle,6
2026-09-24T04:54:47Z,queue,QUEUED,1
2026-09-24T04:54:47Z,queue,IN_PROGRESS,0
2026-09-24T04:54:47Z,queue,oldest_queued_s,0
2026-09-24T04:54:47Z,pg_mem_mib,postgres,209.5
2026-09-24T04:54:47Z,pg_cpu_pct,postgres,5.81
2026-09-24T04:54:51Z,rss_kb,jail,48848
2026-09-24T04:54:51Z,cpu_s,jail,0.03
2026-09-24T04:54:51Z,restarts,jail,0
2026-09-24T04:54:51Z,rss_kb,web,269164
2026-09-24T04:54:51Z,cpu_s,web,583.50
2026-09-24T04:54:51Z,restarts,web,0
2026-09-24T04:54:51Z,rss_kb,worker-1,195248
2026-09-24T04:54:51Z,cpu_s,worker-1,72.80
