ts,metric,key,value
2026-09-24T05:00:54Z,rss_kb,jail,49948
2026-09-24T05:00:54Z,cpu_s,jail,0.07
2026-09-24T05:00:54Z,restarts,jail,0
2026-09-24T05:00:54Z,rss_kb,web,288152
2026-09-24T05:00:54Z,cpu_s,web,595.04
2026-09-24T05:00:54Z,restarts,web,0
2026-09-24T05:00:54Z,rss_kb,worker-1,119068
2026-09-24T05:00:54Z,cpu_s,worker-1,1.13
2026-09-24T05:00:54Z,restarts,worker-1,3
2026-09-24T05:00:54Z,rss_kb,worker-2,116648
2026-09-24T05:00:54Z,cpu_s,worker-2,1.25
2026-09-24T05:00:54Z,restarts,worker-2,2
2026-09-24T05:00:54Z,pg_conn,slaydx|active,2
2026-09-24T05:00:54Z,pg_conn,slaydx|idle,5
2026-09-24T05:00:54Z,queue,QUEUED,15
2026-09-24T05:00:54Z,queue,IN_PROGRESS,0
2026-09-24T05:00:54Z,queue,oldest_queued_s,0
2026-09-24T05:00:54Z,pg_mem_mib,postgres,79.2
2026-09-24T05:00:54Z,pg_cpu_pct,postgres,7.11
2026-09-24T05:00:57Z,rss_kb,jail,49948
2026-09-24T05:00:57Z,cpu_s,jail,0.07
2026-09-24T05:00:57Z,restarts,jail,0
2026-09-24T05:00:57Z,rss_kb,web,288156
2026-09-24T05:00:57Z,cpu_s,web,595.35
2026-09-24T05:00:57Z,restarts,web,0
2026-09-24T05:00:57Z,rss_kb,worker-1,121052
2026-09-24T05:00:57Z,cpu_s,worker-1,1.19
2026-09-24T05:00:57Z,restarts,worker-1,3
2026-09-24T05:00:57Z,rss_kb,worker-2,118712
2026-09-24T05:00:57Z,cpu_s,worker-2,1.32
2026-09-24T05:00:57Z,restarts,worker-2,2
2026-09-24T05:00:57Z,pg_conn,slaydx|idle,7
2026-09-24T05:00:57Z,queue,QUEUED,0
2026-09-24T05:00:57Z,queue,IN_PROGRESS,0
2026-09-24T05:00:57Z,queue,oldest_queued_s,0
2026-09-24T05:00:57Z,pg_mem_mib,postgres,78.7
2026-09-24T05:00:57Z,pg_cpu_pct,postgres,1.36
2026-09-24T05:01:00Z,rss_kb,jail,49948
2026-09-24T05:01:00Z,cpu_s,jail,0.07
2026-09-24T05:01:00Z,restarts,jail,0
2026-09-24T05:01:00Z,rss_kb,web,288156
