ts,metric,key,value
2026-09-24T04:56:46Z,rss_kb,jail,48848
2026-09-24T04:56:46Z,cpu_s,jail,0.03
2026-09-24T04:56:46Z,restarts,jail,0
2026-09-24T04:56:46Z,rss_kb,web,288088
2026-09-24T04:56:46Z,cpu_s,web,593.60
2026-09-24T04:56:46Z,restarts,web,0
2026-09-24T04:56:46Z,rss_kb,worker-1,186264
2026-09-24T04:56:46Z,cpu_s,worker-1,73.84
2026-09-24T04:56:46Z,restarts,worker-1,0
2026-09-24T04:56:46Z,rss_kb,worker-2,185320
2026-09-24T04:56:46Z,cpu_s,worker-2,75.07
2026-09-24T04:56:46Z,restarts,worker-2,0
2026-09-24T04:56:46Z,pg_conn,slaydx|idle,5
2026-09-24T04:56:46Z,queue,QUEUED,0
2026-09-24T04:56:46Z,queue,IN_PROGRESS,0
2026-09-24T04:56:46Z,queue,oldest_queued_s,0
2026-09-24T04:56:46Z,pg_mem_mib,postgres,76.6
2026-09-24T04:56:46Z,pg_cpu_pct,postgres,0.17
2026-09-24T04:56:49Z,rss_kb,jail,48848
2026-09-24T04:56:49Z,cpu_s,jail,0.03
2026-09-24T04:56:49Z,restarts,jail,0
2026-09-24T04:56:49Z,rss_kb,web,288088
2026-09-24T04:56:49Z,cpu_s,web,593.60
2026-09-24T04:56:49Z,restarts,web,0
2026-09-24T04:56:49Z,rss_kb,worker-1,110568
2026-09-24T04:56:49Z,cpu_s,worker-1,0.78
2026-09-24T04:56:49Z,restarts,worker-1,1
2026-09-24T04:56:49Z,rss_kb,worker-2,185320
2026-09-24T04:56:49Z,cpu_s,worker-2,75.08
2026-09-24T04:56:49Z,restarts,worker-2,0
2026-09-24T04:56:49Z,pg_conn,slaydx|idle,4
2026-09-24T04:56:49Z,queue,QUEUED,0
2026-09-24T04:56:49Z,queue,IN_PROGRESS,0
2026-09-24T04:56:49Z,queue,oldest_queued_s,0
2026-09-24T04:56:49Z,pg_mem_mib,postgres,75.4
2026-09-24T04:56:49Z,pg_cpu_pct,postgres,1.57
2026-09-24T04:56:53Z,rss_kb,jail,48848
2026-09-24T04:56:53Z,cpu_s,jail,0.03
2026-09-24T04:56:53Z,restarts,jail,0
2026-09-24T04:56:53Z,rss_kb,web,288088
2026-09-24T04:56:53Z,cpu_s,web,593.60
2026-09-24T04:56:53Z,restarts,web,0
2026-09-24T04:56:53Z,rss_kb,worker-1,151044
2026-09-24T04:56:53Z,cpu_s,worker-1,1.35
2026-09-24T04:56:53Z,restarts,worker-1,1
2026-09-24T04:56:53Z,rss_kb,worker-2,185320
2026-09-24T04:56:53Z,cpu_s,worker-2,75.08
2026-09-24T04:56:53Z,restarts,worker-2,0
2026-09-24T04:56:53Z,pg_conn,slaydx|idle,5
2026-09-24T04:56:53Z,queue,QUEUED,0
2026-09-24T04:56:53Z,queue,IN_PROGRESS,0
2026-09-24T04:56:53Z,queue,oldest_queued_s,0
2026-09-24T04:56:53Z,pg_mem_mib,postgres,73.2
2026-09-24T04:56:53Z,pg_cpu_pct,postgres,0.86
2026-09-24T04:56:56Z,rss_kb,jail,48848
2026-09-24T04:56:56Z,cpu_s,jail,0.03
2026-09-24T04:56:56Z,restarts,jail,0
2026-09-24T04:56:56Z,rss_kb,web,288088
2026-09-24T04:56:56Z,cpu_s,web,593.60
2026-09-24T04:56:56Z,restarts,web,0
2026-09-24T04:56:56Z,rss_kb,worker-1,151056
2026-09-24T04:56:56Z,cpu_s,worker-1,1.35
2026-09-24T04:56:56Z,restarts,worker-1,1
2026-09-24T04:56:56Z,rss_kb,worker-2,150624
2026-09-24T04:56:56Z,cpu_s,worker-2,1.11
2026-09-24T04:56:56Z,restarts,worker-2,1
2026-09-24T04:56:56Z,pg_conn,slaydx|idle,3
2026-09-24T04:56:56Z,queue,QUEUED,0
2026-09-24T04:56:56Z,queue,IN_PROGRESS,0
2026-09-24T04:56:56Z,queue,oldest_queued_s,0
2026-09-24T04:56:56Z,pg_mem_mib,postgres,69.1
2026-09-24T04:56:56Z,pg_cpu_pct,postgres,0.14
2026-09-24T04:56:59Z,rss_kb,jail,48912
2026-09-24T04:56:59Z,cpu_s,jail,0.04
2026-09-24T04:56:59Z,restarts,jail,0
2026-09-24T04:56:59Z,rss_kb,web,288088
2026-09-24T04:56:59Z,cpu_s,web,593.65
2026-09-24T04:56:59Z,restarts,web,0
2026-09-24T04:56:59Z,rss_kb,worker-1,151088
2026-09-24T04:56:59Z,cpu_s,worker-1,1.35
2026-09-24T04:56:59Z,restarts,worker-1,1
2026-09-24T04:56:59Z,rss_kb,worker-2,151848
