ts,metric,key,value
2026-09-24T05:03:21Z,rss_kb,jail,57388
2026-09-24T05:03:21Z,cpu_s,jail,0.38
2026-09-24T05:03:21Z,restarts,jail,0
2026-09-24T05:03:21Z,rss_kb,web,293860
2026-09-24T05:03:21Z,cpu_s,web,599.97
2026-09-24T05:03:21Z,restarts,web,0
2026-09-24T05:03:21Z,rss_kb,worker-1,120416
2026-09-24T05:03:21Z,cpu_s,worker-1,1.26
2026-09-24T05:03:21Z,restarts,worker-1,5
2026-09-24T05:03:21Z,rss_kb,worker-2,118820
2026-09-24T05:03:21Z,cpu_s,worker-2,1.30
2026-09-24T05:03:21Z,restarts,worker-2,4
2026-09-24T05:03:21Z,pg_conn,slaydx|idle,2
2026-09-24T05:03:21Z,queue,QUEUED,0
2026-09-24T05:03:21Z,queue,IN_PROGRESS,0
2026-09-24T05:03:21Z,queue,oldest_queued_s,0
2026-09-24T05:03:21Z,pg_mem_mib,postgres,67.8
2026-09-24T05:03:21Z,pg_cpu_pct,postgres,0.12
2026-09-24T05:03:24Z,rss_kb,jail,57388
2026-09-24T05:03:24Z,cpu_s,jail,0.38
2026-09-24T05:03:24Z,restarts,jail,0
2026-09-24T05:03:24Z,rss_kb,web,293860
2026-09-24T05:03:24Z,cpu_s,web,599.97
2026-09-24T05:03:24Z,restarts,web,0
2026-09-24T05:03:24Z,rss_kb,worker-1,0
2026-09-24T05:03:24Z,restarts,worker-1,6
2026-09-24T05:03:24Z,rss_kb,worker-2,118860
2026-09-24T05:03:24Z,cpu_s,worker-2,1.30
2026-09-24T05:03:24Z,restarts,worker-2,4
2026-09-24T05:03:24Z,pg_conn,slaydx|idle,1
2026-09-24T05:03:24Z,queue,QUEUED,0
2026-09-24T05:03:24Z,queue,IN_PROGRESS,0
2026-09-24T05:03:24Z,queue,oldest_queued_s,0
2026-09-24T05:03:24Z,pg_mem_mib,postgres,68.0
2026-09-24T05:03:24Z,pg_cpu_pct,postgres,1.17
2026-09-24T05:03:28Z,rss_kb,jail,57388
2026-09-24T05:03:28Z,cpu_s,jail,0.38
2026-09-24T05:03:28Z,restarts,jail,0
2026-09-24T05:03:28Z,rss_kb,web,293860
2026-09-24T05:03:28Z,cpu_s,web,599.97
2026-09-24T05:03:28Z,restarts,web,0
2026-09-24T05:03:28Z,rss_kb,worker-1,151184
2026-09-24T05:03:28Z,cpu_s,worker-1,1.07
2026-09-24T05:03:28Z,restarts,worker-1,6
2026-09-24T05:03:28Z,rss_kb,worker-2,118892
2026-09-24T05:03:28Z,cpu_s,worker-2,1.30
2026-09-24T05:03:28Z,restarts,worker-2,4
2026-09-24T05:03:28Z,pg_conn,slaydx|idle,2
2026-09-24T05:03:28Z,queue,QUEUED,0
2026-09-24T05:03:28Z,queue,IN_PROGRESS,0
2026-09-24T05:03:28Z,queue,oldest_queued_s,0
2026-09-24T05:03:28Z,pg_mem_mib,postgres,67.6
2026-09-24T05:03:28Z,pg_cpu_pct,postgres,0.11
2026-09-24T05:03:31Z,rss_kb,jail,57388
2026-09-24T05:03:31Z,cpu_s,jail,0.38
2026-09-24T05:03:31Z,restarts,jail,0
2026-09-24T05:03:31Z,rss_kb,web,293860
2026-09-24T05:03:31Z,cpu_s,web,599.97
2026-09-24T05:03:31Z,restarts,web,0
2026-09-24T05:03:31Z,rss_kb,worker-1,151200
2026-09-24T05:03:31Z,cpu_s,worker-1,1.07
2026-09-24T05:03:31Z,restarts,worker-1,6
2026-09-24T05:03:31Z,rss_kb,worker-2,0
2026-09-24T05:03:31Z,restarts,worker-2,5
2026-09-24T05:03:31Z,pg_conn,slaydx|idle,1
2026-09-24T05:03:31Z,queue,QUEUED,0
2026-09-24T05:03:31Z,queue,IN_PROGRESS,0
2026-09-24T05:03:31Z,queue,oldest_queued_s,0
2026-09-24T05:03:31Z,pg_mem_mib,postgres,65.8
2026-09-24T05:03:31Z,pg_cpu_pct,postgres,0.08
2026-09-24T05:03:34Z,rss_kb,jail,57388
2026-09-24T05:03:34Z,cpu_s,jail,0.38
2026-09-24T05:03:34Z,restarts,jail,0
2026-09-24T05:03:34Z,rss_kb,web,293860
2026-09-24T05:03:34Z,cpu_s,web,599.97
2026-09-24T05:03:34Z,restarts,web,0
2026-09-24T05:03:34Z,rss_kb,worker-1,122012
2026-09-24T05:03:34Z,cpu_s,worker-1,1.18
2026-09-24T05:03:34Z,restarts,worker-1,6
2026-09-24T05:03:34Z,rss_kb,worker-2,151176
2026-09-24T05:03:34Z,cpu_s,worker-2,1.16
2026-09-24T05:03:34Z,restarts,worker-2,5
2026-09-24T05:03:34Z,pg_conn,slaydx|idle,2
2026-09-24T05:03:34Z,queue,QUEUED,0
2026-09-24T05:03:34Z,queue,IN_PROGRESS,0
2026-09-24T05:03:34Z,queue,oldest_queued_s,0
2026-09-24T05:03:34Z,pg_mem_mib,postgres,67.5
2026-09-24T05:03:34Z,pg_cpu_pct,postgres,0.11
2026-09-24T05:03:37Z,rss_kb,jail,57388
2026-09-24T05:03:37Z,cpu_s,jail,0.39
2026-09-24T05:03:37Z,restarts,jail,0
2026-09-24T05:03:37Z,rss_kb,web,293868
2026-09-24T05:03:37Z,cpu_s,web,600.07
2026-09-24T05:03:37Z,restarts,web,0
2026-09-24T05:03:37Z,rss_kb,worker-1,123140
2026-09-24T05:03:37Z,cpu_s,worker-1,1.23
2026-09-24T05:03:37Z,restarts,worker-1,6
2026-09-24T05:03:37Z,rss_kb,worker-2,152360
2026-09-24T05:03:37Z,cpu_s,worker-2,1.19
2026-09-24T05:03:37Z,restarts,worker-2,5
2026-09-24T05:03:37Z,pg_conn,slaydx|idle,4
2026-09-24T05:03:37Z,queue,QUEUED,1
2026-09-24T05:03:37Z,queue,IN_PROGRESS,7
2026-09-24T05:03:37Z,queue,oldest_queued_s,1
2026-09-24T05:03:37Z,pg_mem_mib,postgres,73.2
2026-09-24T05:03:37Z,pg_cpu_pct,postgres,6.30
2026-09-24T05:03:40Z,rss_kb,jail,57388
2026-09-24T05:03:40Z,cpu_s,jail,0.39
2026-09-24T05:03:40Z,restarts,jail,0
2026-09-24T05:03:40Z,rss_kb,web,293888
2026-09-24T05:03:40Z,cpu_s,web,600.30
2026-09-24T05:03:40Z,restarts,web,0
2026-09-24T05:03:40Z,rss_kb,worker-1,0
2026-09-24T05:03:40Z,restarts,worker-1,6
2026-09-24T05:03:40Z,rss_kb,worker-2,152540
2026-09-24T05:03:40Z,cpu_s,worker-2,1.21
2026-09-24T05:03:40Z,restarts,worker-2,5
2026-09-24T05:03:40Z,pg_conn,slaydx|idle,4
2026-09-24T05:03:40Z,queue,QUEUED,3
2026-09-24T05:03:40Z,queue,IN_PROGRESS,8
2026-09-24T05:03:40Z,queue,oldest_queued_s,3
2026-09-24T05:03:40Z,pg_mem_mib,postgres,74.9
2026-09-24T05:03:40Z,pg_cpu_pct,postgres,6.95
2026-09-24T05:03:44Z,rss_kb,jail,57388
2026-09-24T05:03:44Z,cpu_s,jail,0.39
2026-09-24T05:03:44Z,restarts,jail,0
2026-09-24T05:03:44Z,rss_kb,web,294508
2026-09-24T05:03:44Z,cpu_s,web,600.62
2026-09-24T05:03:44Z,restarts,web,0
