ts,metric,key,value
2026-09-24T04:41:13Z,rss_kb,jail,48848
2026-09-24T04:41:13Z,cpu_s,jail,0.03
2026-09-24T04:41:13Z,restarts,jail,0
2026-09-24T04:41:13Z,rss_kb,web,257184
2026-09-24T04:41:13Z,cpu_s,web,225.40
2026-09-24T04:41:13Z,restarts,web,0
2026-09-24T04:41:13Z,rss_kb,worker-1,183132
2026-09-24T04:41:13Z,cpu_s,worker-1,64.00
2026-09-24T04:41:13Z,restarts,worker-1,0
2026-09-24T04:41:13Z,rss_kb,worker-2,182672
2026-09-24T04:41:13Z,cpu_s,worker-2,64.97
2026-09-24T04:41:13Z,restarts,worker-2,0
2026-09-24T04:41:13Z,pg_conn,slaydx|idle,2
2026-09-24T04:41:13Z,queue,QUEUED,0
2026-09-24T04:41:13Z,queue,IN_PROGRESS,0
2026-09-24T04:41:13Z,queue,oldest_queued_s,0
2026-09-24T04:41:13Z,pg_mem_mib,postgres,197.6
2026-09-24T04:41:13Z,pg_cpu_pct,postgres,4.99
2026-09-24T04:41:20Z,rss_kb,jail,48848
2026-09-24T04:41:20Z,cpu_s,jail,0.03
2026-09-24T04:41:20Z,restarts,jail,0
2026-09-24T04:41:20Z,rss_kb,web,258492
2026-09-24T04:41:20Z,cpu_s,web,226.44
2026-09-24T04:41:20Z,restarts,web,0
2026-09-24T04:41:20Z,rss_kb,worker-1,183132
2026-09-24T04:41:20Z,cpu_s,worker-1,64.00
2026-09-24T04:41:20Z,restarts,worker-1,0
2026-09-24T04:41:20Z,rss_kb,worker-2,182672
2026-09-24T04:41:20Z,cpu_s,worker-2,64.97
2026-09-24T04:41:20Z,restarts,worker-2,0
2026-09-24T04:41:20Z,pg_conn,slaydx|idle,5
2026-09-24T04:41:20Z,queue,QUEUED,0
2026-09-24T04:41:20Z,queue,IN_PROGRESS,0
2026-09-24T04:41:20Z,queue,oldest_queued_s,0
2026-09-24T04:41:20Z,pg_mem_mib,postgres,200.7
2026-09-24T04:41:20Z,pg_cpu_pct,postgres,13.55
2026-09-24T04:41:26Z,rss_kb,jail,48848
2026-09-24T04:41:26Z,cpu_s,jail,0.03
2026-09-24T04:41:26Z,restarts,jail,0
2026-09-24T04:41:26Z,rss_kb,web,258972
2026-09-24T04:41:26Z,cpu_s,web,228.82
2026-09-24T04:41:26Z,restarts,web,0
2026-09-24T04:41:26Z,rss_kb,worker-1,183132
2026-09-24T04:41:26Z,cpu_s,worker-1,64.01
2026-09-24T04:41:26Z,restarts,worker-1,0
2026-09-24T04:41:26Z,rss_kb,worker-2,182672
2026-09-24T04:41:26Z,cpu_s,worker-2,64.98
2026-09-24T04:41:26Z,restarts,worker-2,0
2026-09-24T04:41:26Z,pg_conn,slaydx|active,1
2026-09-24T04:41:26Z,pg_conn,slaydx|idle,6
2026-09-24T04:41:26Z,queue,QUEUED,0
2026-09-24T04:41:26Z,queue,IN_PROGRESS,0
2026-09-24T04:41:26Z,queue,oldest_queued_s,0
2026-09-24T04:41:26Z,pg_mem_mib,postgres,205.0
2026-09-24T04:41:26Z,pg_cpu_pct,postgres,19.18
2026-09-24T04:41:32Z,rss_kb,jail,48848
2026-09-24T04:41:32Z,cpu_s,jail,0.03
2026-09-24T04:41:32Z,restarts,jail,0
2026-09-24T04:41:32Z,rss_kb,web,263812
2026-09-24T04:41:32Z,cpu_s,web,231.14
2026-09-24T04:41:32Z,restarts,web,0
2026-09-24T04:41:32Z,rss_kb,worker-1,183132
2026-09-24T04:41:32Z,cpu_s,worker-1,64.02
