ts,metric,key,value
2026-09-24T04:35:17Z,rss_kb,jail,48848
2026-09-24T04:35:17Z,cpu_s,jail,0.03
2026-09-24T04:35:17Z,restarts,jail,0
2026-09-24T04:35:17Z,rss_kb,web,219512
2026-09-24T04:35:17Z,cpu_s,web,207.00
2026-09-24T04:35:17Z,restarts,web,0
2026-09-24T04:35:17Z,rss_kb,worker-1,146612
2026-09-24T04:35:17Z,cpu_s,worker-1,2.51
2026-09-24T04:35:17Z,restarts,worker-1,0
2026-09-24T04:35:17Z,rss_kb,worker-2,146364
2026-09-24T04:35:17Z,cpu_s,worker-2,2.41
2026-09-24T04:35:17Z,restarts,worker-2,0
2026-09-24T04:35:17Z,pg_conn,slaydx|idle,9
2026-09-24T04:35:17Z,queue,QUEUED,0
2026-09-24T04:35:17Z,queue,IN_PROGRESS,0
2026-09-24T04:35:17Z,queue,oldest_queued_s,0
2026-09-24T04:35:17Z,pg_mem_mib,postgres,204.4
2026-09-24T04:35:17Z,pg_cpu_pct,postgres,2.84
2026-09-24T04:35:23Z,rss_kb,jail,48848
2026-09-24T04:35:23Z,cpu_s,jail,0.03
2026-09-24T04:35:23Z,restarts,jail,0
2026-09-24T04:35:23Z,rss_kb,web,224192
2026-09-24T04:35:23Z,cpu_s,web,207.26
2026-09-24T04:35:23Z,restarts,web,0
2026-09-24T04:35:23Z,rss_kb,worker-1,160856
2026-09-24T04:35:23Z,cpu_s,worker-1,2.99
2026-09-24T04:35:23Z,restarts,worker-1,0
2026-09-24T04:35:23Z,rss_kb,worker-2,160816
2026-09-24T04:35:23Z,cpu_s,worker-2,2.88
2026-09-24T04:35:23Z,restarts,worker-2,0
2026-09-24T04:35:23Z,pg_conn,slaydx|idle,6
2026-09-24T04:35:23Z,queue,QUEUED,5
2026-09-24T04:35:23Z,queue,IN_PROGRESS,0
2026-09-24T04:35:23Z,queue,oldest_queued_s,1
2026-09-24T04:35:23Z,pg_mem_mib,postgres,197.2
2026-09-24T04:35:23Z,pg_cpu_pct,postgres,4.89
2026-09-24T04:35:29Z,rss_kb,jail,48848
2026-09-24T04:35:29Z,cpu_s,jail,0.03
2026-09-24T04:35:29Z,restarts,jail,0
2026-09-24T04:35:29Z,rss_kb,web,228692
