ts,metric,key,value
2026-09-24T04:50:11Z,rss_kb,jail,48848
2026-09-24T04:50:11Z,cpu_s,jail,0.03
2026-09-24T04:50:11Z,restarts,jail,0
2026-09-24T04:50:11Z,rss_kb,web,288088
2026-09-24T04:50:11Z,cpu_s,web,414.24
2026-09-24T04:50:11Z,restarts,web,0
2026-09-24T04:50:11Z,rss_kb,worker-1,183156
2026-09-24T04:50:11Z,cpu_s,worker-1,64.36
2026-09-24T04:50:11Z,restarts,worker-1,0
2026-09-24T04:50:11Z,rss_kb,worker-2,182696
2026-09-24T04:50:11Z,cpu_s,worker-2,65.30
2026-09-24T04:50:11Z,restarts,worker-2,0
2026-09-24T04:50:11Z,pg_conn,slaydx|idle,5
2026-09-24T04:50:11Z,queue,QUEUED,0
2026-09-24T04:50:11Z,queue,IN_PROGRESS,0
2026-09-24T04:50:11Z,queue,oldest_queued_s,0
2026-09-24T04:50:11Z,pg_mem_mib,postgres,202.6
2026-09-24T04:50:11Z,pg_cpu_pct,postgres,4.40
2026-09-24T04:50:17Z,rss_kb,jail,48848
2026-09-24T04:50:17Z,cpu_s,jail,0.03
2026-09-24T04:50:17Z,restarts,jail,0
2026-09-24T04:50:17Z,rss_kb,web,290536
2026-09-24T04:50:17Z,cpu_s,web,415.35
2026-09-24T04:50:17Z,restarts,web,0
2026-09-24T04:50:17Z,rss_kb,worker-1,183156
2026-09-24T04:50:17Z,cpu_s,worker-1,64.58
2026-09-24T04:50:17Z,restarts,worker-1,0
2026-09-24T04:50:17Z,rss_kb,worker-2,186084
2026-09-24T04:50:17Z,cpu_s,worker-2,65.67
2026-09-24T04:50:17Z,restarts,worker-2,0
2026-09-24T04:50:17Z,pg_conn,slaydx|idle,5
2026-09-24T04:50:17Z,queue,QUEUED,2
2026-09-24T04:50:17Z,queue,IN_PROGRESS,0
2026-09-24T04:50:17Z,queue,oldest_queued_s,0
2026-09-24T04:50:17Z,pg_mem_mib,postgres,204.3
2026-09-24T04:50:17Z,pg_cpu_pct,postgres,8.23
2026-09-24T04:50:23Z,rss_kb,jail,48848
2026-09-24T04:50:23Z,cpu_s,jail,0.03
2026-09-24T04:50:23Z,restarts,jail,0
2026-09-24T04:50:23Z,rss_kb,web,292740
2026-09-24T04:50:23Z,cpu_s,web,417.19
2026-09-24T04:50:23Z,restarts,web,0
2026-09-24T04:50:23Z,rss_kb,worker-1,183156
2026-09-24T04:50:23Z,cpu_s,worker-1,64.77
2026-09-24T04:50:23Z,restarts,worker-1,0
2026-09-24T04:50:23Z,rss_kb,worker-2,186084
2026-09-24T04:50:23Z,cpu_s,worker-2,65.74
2026-09-24T04:50:23Z,restarts,worker-2,0
2026-09-24T04:50:23Z,pg_conn,slaydx|active,1
2026-09-24T04:50:23Z,pg_conn,slaydx|idle,6
2026-09-24T04:50:23Z,queue,QUEUED,2
2026-09-24T04:50:23Z,queue,IN_PROGRESS,0
2026-09-24T04:50:23Z,queue,oldest_queued_s,1
2026-09-24T04:50:23Z,pg_mem_mib,postgres,209.6
2026-09-24T04:50:23Z,pg_cpu_pct,postgres,19.92
2026-09-24T04:50:29Z,rss_kb,jail,48848
2026-09-24T04:50:29Z,cpu_s,jail,0.03
2026-09-24T04:50:29Z,restarts,jail,0
2026-09-24T04:50:29Z,rss_kb,web,295208
2026-09-24T04:50:29Z,cpu_s,web,419.66
2026-09-24T04:50:29Z,restarts,web,0
2026-09-24T04:50:29Z,rss_kb,worker-1,183604
2026-09-24T04:50:29Z,cpu_s,worker-1,64.97
2026-09-24T04:50:29Z,restarts,worker-1,0
2026-09-24T04:50:29Z,rss_kb,worker-2,182696
2026-09-24T04:50:29Z,cpu_s,worker-2,65.98
2026-09-24T04:50:29Z,restarts,worker-2,0
2026-09-24T04:50:29Z,pg_conn,slaydx|idle,7
2026-09-24T04:50:29Z,queue,QUEUED,3
2026-09-24T04:50:29Z,queue,IN_PROGRESS,0
2026-09-24T04:50:29Z,queue,oldest_queued_s,1
2026-09-24T04:50:29Z,pg_mem_mib,postgres,210.1
2026-09-24T04:50:29Z,pg_cpu_pct,postgres,25.84
2026-09-24T04:50:35Z,rss_kb,jail,48848
2026-09-24T04:50:35Z,cpu_s,jail,0.03
2026-09-24T04:50:35Z,restarts,jail,0
2026-09-24T04:50:35Z,rss_kb,web,308044
2026-09-24T04:50:35Z,cpu_s,web,422.76
2026-09-24T04:50:35Z,restarts,web,0
2026-09-24T04:50:35Z,rss_kb,worker-1,190328
2026-09-24T04:50:35Z,cpu_s,worker-1,65.09
2026-09-24T04:50:35Z,restarts,worker-1,0
2026-09-24T04:50:35Z,rss_kb,worker-2,185512
2026-09-24T04:50:35Z,cpu_s,worker-2,66.19
2026-09-24T04:50:35Z,restarts,worker-2,0
2026-09-24T04:50:35Z,pg_conn,slaydx|active,2
2026-09-24T04:50:35Z,pg_conn,slaydx|idle,6
2026-09-24T04:50:35Z,queue,QUEUED,4
2026-09-24T04:50:35Z,queue,IN_PROGRESS,0
2026-09-24T04:50:35Z,queue,oldest_queued_s,1
2026-09-24T04:50:35Z,pg_mem_mib,postgres,213.1
2026-09-24T04:50:35Z,pg_cpu_pct,postgres,29.47
2026-09-24T04:50:41Z,rss_kb,jail,48848
2026-09-24T04:50:41Z,cpu_s,jail,0.03
2026-09-24T04:50:41Z,restarts,jail,0
2026-09-24T04:50:41Z,rss_kb,web,323592
2026-09-24T04:50:41Z,cpu_s,web,425.68
2026-09-24T04:50:41Z,restarts,web,0
2026-09-24T04:50:41Z,rss_kb,worker-1,187660
2026-09-24T04:50:41Z,cpu_s,worker-1,65.26
2026-09-24T04:50:41Z,restarts,worker-1,0
2026-09-24T04:50:41Z,rss_kb,worker-2,182696
2026-09-24T04:50:41Z,cpu_s,worker-2,66.57
2026-09-24T04:50:41Z,restarts,worker-2,0
2026-09-24T04:50:41Z,pg_conn,slaydx|idle,8
2026-09-24T04:50:41Z,queue,QUEUED,2
2026-09-24T04:50:41Z,queue,IN_PROGRESS,0
2026-09-24T04:50:41Z,queue,oldest_queued_s,0
