ts,metric,key,value
2026-09-24T04:30:46Z,rss_kb,jail,48848
2026-09-24T04:30:46Z,cpu_s,jail,0.03
2026-09-24T04:30:46Z,restarts,jail,0
2026-09-24T04:30:46Z,rss_kb,web,217152
2026-09-24T04:30:46Z,cpu_s,web,116.34
2026-09-24T04:30:46Z,restarts,web,0
2026-09-24T04:30:46Z,rss_kb,worker-1,146020
2026-09-24T04:30:46Z,cpu_s,worker-1,2.29
2026-09-24T04:30:46Z,restarts,worker-1,0
2026-09-24T04:30:46Z,rss_kb,worker-2,145792
2026-09-24T04:30:46Z,cpu_s,worker-2,2.20
2026-09-24T04:30:46Z,restarts,worker-2,0
2026-09-24T04:30:46Z,pg_conn,slaydx|idle,6
2026-09-24T04:30:46Z,queue,QUEUED,0
2026-09-24T04:30:46Z,queue,IN_PROGRESS,0
2026-09-24T04:30:46Z,queue,oldest_queued_s,0
2026-09-24T04:30:46Z,pg_mem_mib,postgres,204.2
2026-09-24T04:30:46Z,pg_cpu_pct,postgres,4.04
2026-09-24T04:30:52Z,rss_kb,jail,48848
2026-09-24T04:30:52Z,cpu_s,jail,0.03
2026-09-24T04:30:52Z,restarts,jail,0
2026-09-24T04:30:52Z,rss_kb,web,234436
2026-09-24T04:30:52Z,cpu_s,web,117.30
2026-09-24T04:30:52Z,restarts,web,0
2026-09-24T04:30:52Z,rss_kb,worker-1,146044
2026-09-24T04:30:52Z,cpu_s,worker-1,2.30
2026-09-24T04:30:52Z,restarts,worker-1,0
2026-09-24T04:30:52Z,rss_kb,worker-2,145816
2026-09-24T04:30:52Z,cpu_s,worker-2,2.21
2026-09-24T04:30:52Z,restarts,worker-2,0
2026-09-24T04:30:52Z,pg_conn,slaydx|idle,5
2026-09-24T04:30:52Z,queue,QUEUED,0
2026-09-24T04:30:52Z,queue,IN_PROGRESS,0
2026-09-24T04:30:52Z,queue,oldest_queued_s,0
2026-09-24T04:30:52Z,pg_mem_mib,postgres,202.6
2026-09-24T04:30:52Z,pg_cpu_pct,postgres,6.67
2026-09-24T04:30:59Z,rss_kb,jail,48848
2026-09-24T04:30:59Z,cpu_s,jail,0.03
2026-09-24T04:30:59Z,restarts,jail,0
2026-09-24T04:30:59Z,rss_kb,web,251724
2026-09-24T04:30:59Z,cpu_s,web,118.73
2026-09-24T04:30:59Z,restarts,web,0
2026-09-24T04:30:59Z,rss_kb,worker-1,146072
2026-09-24T04:30:59Z,cpu_s,worker-1,2.30
2026-09-24T04:30:59Z,restarts,worker-1,0
2026-09-24T04:30:59Z,rss_kb,worker-2,145844
2026-09-24T04:30:59Z,cpu_s,worker-2,2.21
2026-09-24T04:30:59Z,restarts,worker-2,0
2026-09-24T04:30:59Z,pg_conn,slaydx|idle,5
2026-09-24T04:30:59Z,queue,QUEUED,0
2026-09-24T04:30:59Z,queue,IN_PROGRESS,0
2026-09-24T04:30:59Z,queue,oldest_queued_s,0
2026-09-24T04:30:59Z,pg_mem_mib,postgres,203.1
2026-09-24T04:30:59Z,pg_cpu_pct,postgres,12.23
2026-09-24T04:31:05Z,rss_kb,jail,48848
2026-09-24T04:31:05Z,cpu_s,jail,0.03
2026-09-24T04:31:05Z,restarts,jail,0
2026-09-24T04:31:05Z,rss_kb,web,254324
2026-09-24T04:31:05Z,cpu_s,web,120.56
2026-09-24T04:31:05Z,restarts,web,0
2026-09-24T04:31:05Z,rss_kb,worker-1,146096
2026-09-24T04:31:05Z,cpu_s,worker-1,2.31
2026-09-24T04:31:05Z,restarts,worker-1,0
2026-09-24T04:31:05Z,rss_kb,worker-2,145868
2026-09-24T04:31:05Z,cpu_s,worker-2,2.22
2026-09-24T04:31:05Z,restarts,worker-2,0
2026-09-24T04:31:05Z,pg_conn,slaydx|active,1
2026-09-24T04:31:05Z,pg_conn,slaydx|idle,5
2026-09-24T04:31:05Z,queue,QUEUED,0
2026-09-24T04:31:05Z,queue,IN_PROGRESS,0
2026-09-24T04:31:05Z,queue,oldest_queued_s,0
2026-09-24T04:31:05Z,pg_mem_mib,postgres,205.5
2026-09-24T04:31:05Z,pg_cpu_pct,postgres,14.15
2026-09-24T04:31:11Z,rss_kb,jail,48848
2026-09-24T04:31:11Z,cpu_s,jail,0.03
2026-09-24T04:31:11Z,restarts,jail,0
2026-09-24T04:31:11Z,rss_kb,web,257660
2026-09-24T04:31:11Z,cpu_s,web,122.23
2026-09-24T04:31:11Z,restarts,web,0
2026-09-24T04:31:11Z,rss_kb,worker-1,146136
2026-09-24T04:31:11Z,cpu_s,worker-1,2.31
2026-09-24T04:31:11Z,restarts,worker-1,0
2026-09-24T04:31:11Z,rss_kb,worker-2,145904
2026-09-24T04:31:11Z,cpu_s,worker-2,2.22
2026-09-24T04:31:11Z,restarts,worker-2,0
2026-09-24T04:31:11Z,pg_conn,slaydx|idle,6
2026-09-24T04:31:11Z,queue,QUEUED,0
2026-09-24T04:31:11Z,queue,IN_PROGRESS,0
2026-09-24T04:31:11Z,queue,oldest_queued_s,0
2026-09-24T04:31:11Z,pg_mem_mib,postgres,205.9
2026-09-24T04:31:11Z,pg_cpu_pct,postgres,16.93
2026-09-24T04:31:17Z,rss_kb,jail,48848
2026-09-24T04:31:17Z,cpu_s,jail,0.03
2026-09-24T04:31:17Z,restarts,jail,0
2026-09-24T04:31:17Z,rss_kb,web,262208
2026-09-24T04:31:17Z,cpu_s,web,124.05
2026-09-24T04:31:17Z,restarts,web,0
2026-09-24T04:31:17Z,rss_kb,worker-1,146160
2026-09-24T04:31:17Z,cpu_s,worker-1,2.33
2026-09-24T04:31:17Z,restarts,worker-1,0
2026-09-24T04:31:17Z,rss_kb,worker-2,145928
2026-09-24T04:31:17Z,cpu_s,worker-2,2.23
2026-09-24T04:31:17Z,restarts,worker-2,0
2026-09-24T04:31:17Z,pg_conn,slaydx|idle,9
2026-09-24T04:31:17Z,queue,QUEUED,0
2026-09-24T04:31:17Z,queue,IN_PROGRESS,0
2026-09-24T04:31:17Z,queue,oldest_queued_s,0
2026-09-24T04:31:17Z,pg_mem_mib,postgres,213.2
2026-09-24T04:31:17Z,pg_cpu_pct,postgres,22.17
2026-09-24T04:31:23Z,rss_kb,jail,48848
2026-09-24T04:31:23Z,cpu_s,jail,0.03
2026-09-24T04:31:23Z,restarts,jail,0
2026-09-24T04:31:23Z,rss_kb,web,270348
2026-09-24T04:31:23Z,cpu_s,web,126.24
2026-09-24T04:31:23Z,restarts,web,0
2026-09-24T04:31:23Z,rss_kb,worker-1,146188
2026-09-24T04:31:23Z,cpu_s,worker-1,2.33
2026-09-24T04:31:23Z,restarts,worker-1,0
2026-09-24T04:31:23Z,rss_kb,worker-2,145956
2026-09-24T04:31:23Z,cpu_s,worker-2,2.23
2026-09-24T04:31:23Z,restarts,worker-2,0
2026-09-24T04:31:23Z,pg_conn,slaydx|idle,10
2026-09-24T04:31:23Z,queue,QUEUED,0
2026-09-24T04:31:23Z,queue,IN_PROGRESS,0
2026-09-24T04:31:23Z,queue,oldest_queued_s,0
2026-09-24T04:31:23Z,pg_mem_mib,postgres,214.5
2026-09-24T04:31:23Z,pg_cpu_pct,postgres,28.64
2026-09-24T04:31:29Z,rss_kb,jail,48848
2026-09-24T04:31:29Z,cpu_s,jail,0.03
2026-09-24T04:31:29Z,restarts,jail,0
2026-09-24T04:31:29Z,rss_kb,web,270908
2026-09-24T04:31:29Z,cpu_s,web,128.53
2026-09-24T04:31:29Z,restarts,web,0
2026-09-24T04:31:29Z,rss_kb,worker-1,146212
2026-09-24T04:31:29Z,cpu_s,worker-1,2.34
2026-09-24T04:31:29Z,restarts,worker-1,0
2026-09-24T04:31:29Z,rss_kb,worker-2,145980
2026-09-24T04:31:29Z,cpu_s,worker-2,2.25
2026-09-24T04:31:29Z,restarts,worker-2,0
2026-09-24T04:31:29Z,pg_conn,slaydx|idle,10
2026-09-24T04:31:29Z,queue,QUEUED,0
2026-09-24T04:31:29Z,queue,IN_PROGRESS,0
2026-09-24T04:31:29Z,queue,oldest_queued_s,0
2026-09-24T04:31:29Z,pg_mem_mib,postgres,214.7
2026-09-24T04:31:29Z,pg_cpu_pct,postgres,33.29
2026-09-24T04:31:36Z,rss_kb,jail,48848
2026-09-24T04:31:36Z,cpu_s,jail,0.03
2026-09-24T04:31:36Z,restarts,jail,0
2026-09-24T04:31:36Z,rss_kb,web,298500
2026-09-24T04:31:36Z,cpu_s,web,130.84
2026-09-24T04:31:36Z,restarts,web,0
2026-09-24T04:31:36Z,rss_kb,worker-1,146236
2026-09-24T04:31:36Z,cpu_s,worker-1,2.34
2026-09-24T04:31:36Z,restarts,worker-1,0
2026-09-24T04:31:36Z,rss_kb,worker-2,146008
2026-09-24T04:31:36Z,cpu_s,worker-2,2.25
2026-09-24T04:31:36Z,restarts,worker-2,0
2026-09-24T04:31:36Z,pg_conn,slaydx|idle,10
2026-09-24T04:31:36Z,queue,QUEUED,0
2026-09-24T04:31:36Z,queue,IN_PROGRESS,0
2026-09-24T04:31:36Z,queue,oldest_queued_s,0
2026-09-24T04:31:36Z,pg_mem_mib,postgres,215.0
2026-09-24T04:31:36Z,pg_cpu_pct,postgres,32.94
2026-09-24T04:31:42Z,rss_kb,jail,48848
2026-09-24T04:31:42Z,cpu_s,jail,0.03
2026-09-24T04:31:42Z,restarts,jail,0
2026-09-24T04:31:42Z,rss_kb,web,305088
2026-09-24T04:31:42Z,cpu_s,web,133.02
2026-09-24T04:31:42Z,restarts,web,0
2026-09-24T04:31:42Z,rss_kb,worker-1,146260
2026-09-24T04:31:42Z,cpu_s,worker-1,2.35
2026-09-24T04:31:42Z,restarts,worker-1,0
2026-09-24T04:31:42Z,rss_kb,worker-2,146032
2026-09-24T04:31:42Z,cpu_s,worker-2,2.26
2026-09-24T04:31:42Z,restarts,worker-2,0
2026-09-24T04:31:42Z,pg_conn,slaydx|idle,10
2026-09-24T04:31:42Z,queue,QUEUED,0
2026-09-24T04:31:42Z,queue,IN_PROGRESS,0
2026-09-24T04:31:42Z,queue,oldest_queued_s,0
2026-09-24T04:31:42Z,pg_mem_mib,postgres,214.7
2026-09-24T04:31:42Z,pg_cpu_pct,postgres,34.16
2026-09-24T04:31:48Z,rss_kb,jail,48848
2026-09-24T04:31:48Z,cpu_s,jail,0.03
2026-09-24T04:31:48Z,restarts,jail,0
2026-09-24T04:31:48Z,rss_kb,web,305904
2026-09-24T04:31:48Z,cpu_s,web,135.35
2026-09-24T04:31:48Z,restarts,web,0
2026-09-24T04:31:48Z,rss_kb,worker-1,146288
2026-09-24T04:31:48Z,cpu_s,worker-1,2.35
2026-09-24T04:31:48Z,restarts,worker-1,0
2026-09-24T04:31:48Z,rss_kb,worker-2,146060
2026-09-24T04:31:48Z,cpu_s,worker-2,2.26
2026-09-24T04:31:48Z,restarts,worker-2,0
2026-09-24T04:31:48Z,pg_conn,slaydx|active,1
2026-09-24T04:31:48Z,pg_conn,slaydx|idle,10
2026-09-24T04:31:48Z,queue,QUEUED,0
2026-09-24T04:31:48Z,queue,IN_PROGRESS,0
2026-09-24T04:31:48Z,queue,oldest_queued_s,0
2026-09-24T04:31:48Z,pg_mem_mib,postgres,216.9
2026-09-24T04:31:48Z,pg_cpu_pct,postgres,33.85
2026-09-24T04:31:54Z,rss_kb,jail,48848
2026-09-24T04:31:54Z,cpu_s,jail,0.03
2026-09-24T04:31:54Z,restarts,jail,0
2026-09-24T04:31:54Z,rss_kb,web,307040
2026-09-24T04:31:54Z,cpu_s,web,137.57
2026-09-24T04:31:54Z,restarts,web,0
2026-09-24T04:31:54Z,rss_kb,worker-1,146312
2026-09-24T04:31:54Z,cpu_s,worker-1,2.36
2026-09-24T04:31:54Z,restarts,worker-1,0
2026-09-24T04:31:54Z,rss_kb,worker-2,146084
2026-09-24T04:31:54Z,cpu_s,worker-2,2.26
2026-09-24T04:31:54Z,restarts,worker-2,0
2026-09-24T04:31:54Z,pg_conn,slaydx|idle,11
2026-09-24T04:31:54Z,queue,QUEUED,0
2026-09-24T04:31:54Z,queue,IN_PROGRESS,0
2026-09-24T04:31:54Z,queue,oldest_queued_s,0
2026-09-24T04:31:54Z,pg_mem_mib,postgres,216.4
2026-09-24T04:31:54Z,pg_cpu_pct,postgres,33.26
2026-09-24T04:32:00Z,rss_kb,jail,48848
2026-09-24T04:32:00Z,cpu_s,jail,0.03
2026-09-24T04:32:00Z,restarts,jail,0
2026-09-24T04:32:00Z,rss_kb,web,315984
2026-09-24T04:32:00Z,cpu_s,web,139.83
2026-09-24T04:32:00Z,restarts,web,0
2026-09-24T04:32:00Z,rss_kb,worker-1,146340
