ts,metric,key,value
2026-09-24T04:45:41Z,rss_kb,jail,48848
2026-09-24T04:45:41Z,cpu_s,jail,0.03
2026-09-24T04:45:41Z,restarts,jail,0
2026-09-24T04:45:41Z,rss_kb,web,250552
2026-09-24T04:45:41Z,cpu_s,web,386.87
2026-09-24T04:45:41Z,restarts,web,0
2026-09-24T04:45:41Z,rss_kb,worker-1,183144
2026-09-24T04:45:41Z,cpu_s,worker-1,64.15
2026-09-24T04:45:41Z,restarts,worker-1,0
2026-09-24T04:45:41Z,rss_kb,worker-2,182684
2026-09-24T04:45:41Z,cpu_s,worker-2,65.09
2026-09-24T04:45:41Z,restarts,worker-2,0
2026-09-24T04:45:41Z,pg_conn,slaydx|idle,12
2026-09-24T04:45:41Z,queue,QUEUED,0
2026-09-24T04:45:41Z,queue,IN_PROGRESS,0
2026-09-24T04:45:41Z,queue,oldest_queued_s,0
2026-09-24T04:45:41Z,pg_mem_mib,postgres,217.5
2026-09-24T04:45:41Z,pg_cpu_pct,postgres,0.79
2026-09-24T04:45:47Z,rss_kb,jail,48848
2026-09-24T04:45:47Z,cpu_s,jail,0.03
2026-09-24T04:45:47Z,restarts,jail,0
2026-09-24T04:45:47Z,rss_kb,web,253000
2026-09-24T04:45:47Z,cpu_s,web,387.00
2026-09-24T04:45:47Z,restarts,web,0
2026-09-24T04:45:47Z,rss_kb,worker-1,183144
2026-09-24T04:45:47Z,cpu_s,worker-1,64.15
2026-09-24T04:45:47Z,restarts,worker-1,0
2026-09-24T04:45:47Z,rss_kb,worker-2,182684
2026-09-24T04:45:47Z,cpu_s,worker-2,65.10
2026-09-24T04:45:47Z,restarts,worker-2,0
2026-09-24T04:45:47Z,pg_conn,slaydx|idle,9
2026-09-24T04:45:47Z,queue,QUEUED,0
2026-09-24T04:45:47Z,queue,IN_PROGRESS,0
2026-09-24T04:45:47Z,queue,oldest_queued_s,0
2026-09-24T04:45:47Z,pg_mem_mib,postgres,211.4
2026-09-24T04:45:47Z,pg_cpu_pct,postgres,3.46
2026-09-24T04:45:53Z,rss_kb,jail,48848
2026-09-24T04:45:53Z,cpu_s,jail,0.03
2026-09-24T04:45:53Z,restarts,jail,0
2026-09-24T04:45:53Z,rss_kb,web,259288
2026-09-24T04:45:53Z,cpu_s,web,387.36
2026-09-24T04:45:53Z,restarts,web,0
2026-09-24T04:45:53Z,rss_kb,worker-1,183144
2026-09-24T04:45:53Z,cpu_s,worker-1,64.15
2026-09-24T04:45:53Z,restarts,worker-1,0
2026-09-24T04:45:53Z,rss_kb,worker-2,182684
2026-09-24T04:45:53Z,cpu_s,worker-2,65.11
2026-09-24T04:45:53Z,restarts,worker-2,0
2026-09-24T04:45:53Z,pg_conn,slaydx|idle,4
2026-09-24T04:45:53Z,queue,QUEUED,0
2026-09-24T04:45:53Z,queue,IN_PROGRESS,0
2026-09-24T04:45:53Z,queue,oldest_queued_s,0
2026-09-24T04:45:53Z,pg_mem_mib,postgres,199.9
2026-09-24T04:45:53Z,pg_cpu_pct,postgres,3.01
